Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
airbnb.com,34.200.100.113,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Airbnb, Inc./CN=airbnb.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jan 20 00:00:00 2017 GMT","Jan 29 12:00:00 2020 GMT"
airbnb.com,34.200.100.113,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
airbnb.com,34.236.209.77,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Airbnb, Inc./CN=airbnb.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jan 20 00:00:00 2017 GMT","Jan 29 12:00:00 2020 GMT"
airbnb.com,34.236.209.77,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
airbnb.com,52.205.157.89,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Airbnb, Inc./CN=airbnb.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jan 20 00:00:00 2017 GMT","Jan 29 12:00:00 2020 GMT"
airbnb.com,52.205.157.89,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
airbnbcitizen.com,104.25.200.10,tcp,443,https,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=airbnbcitizen.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Sep 30 00:00:00 2018 GMT","Sep 30 12:00:00 2019 GMT"
airbnbcitizen.com,104.25.200.10,tcp,443,https,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
airbnbcitizen.com,104.25.200.10,tcp,8443,unknown,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=airbnbcitizen.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Sep 30 00:00:00 2018 GMT","Sep 30 12:00:00 2019 GMT"
airbnbcitizen.com,104.25.200.10,tcp,8443,unknown,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
airbnbcitizen.com,104.25.201.10,tcp,443,https,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=airbnbcitizen.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Sep 30 00:00:00 2018 GMT","Sep 30 12:00:00 2019 GMT"
airbnbcitizen.com,104.25.201.10,tcp,443,https,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
airbnbcitizen.com,104.25.201.10,tcp,8443,unknown,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=airbnbcitizen.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Sep 30 00:00:00 2018 GMT","Sep 30 12:00:00 2019 GMT"
airbnbcitizen.com,104.25.201.10,tcp,8443,unknown,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
api.airbnb.com,23.78.54.157,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=4566980/C=US/ST=California/L=San Francisco/O=Airbnb, Inc./CN=www.airbnb.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","May 31 00:00:00 2018 GMT","Jun  4 12:00:00 2020 GMT"
api.airbnb.com,23.78.54.157,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
assets.airbnb.com,23.78.51.84,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Airbnb, Inc./CN=*.airbnb.com","/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Organization Validation CA - SHA256 - G2","Jun 20 21:06:11 2018 GMT","Jun 20 21:06:11 2020 GMT"
assets.airbnb.com,23.78.51.84,tcp,443,https,1,"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Organization Validation CA - SHA256 - G2","/C=BE/O=GlobalSign nv-sa/OU=Root CA/CN=GlobalSign Root CA","Feb 20 10:00:00 2014 GMT","Feb 20 10:00:00 2024 GMT"
callbacks.airbnb.com,23.78.51.84,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Airbnb, Inc./CN=*.airbnb.com","/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Organization Validation CA - SHA256 - G2","Jun 20 21:06:11 2018 GMT","Jun 20 21:06:11 2020 GMT"
