Host,Address,Transport,Port,Service,Component,Version
airbnb.com,34.200.100.113,tcp,80,http,nginx/nginx,
airbnb.com,34.200.100.113,tcp,443,http,nginx/nginx,
airbnb.com,34.200.100.113,tcp,443,https,nginx/nginx,
airbnb.com,34.236.209.77,tcp,80,http,nginx/nginx,
airbnb.com,34.236.209.77,tcp,443,http,nginx/nginx,
airbnb.com,34.236.209.77,tcp,443,https,nginx/nginx,
airbnb.com,52.205.157.89,tcp,80,http,nginx/nginx,
airbnb.com,52.205.157.89,tcp,443,http,nginx/nginx,
airbnb.com,52.205.157.89,tcp,443,https,nginx/nginx,
airbnbcitizen.com,104.25.200.10,tcp,80,http,cloudflare/cloudflare,
airbnbcitizen.com,104.25.200.10,tcp,443,http,cloudflare/cloudflare,
airbnbcitizen.com,104.25.200.10,tcp,443,https,cloudflare/cloudflare,
airbnbcitizen.com,104.25.201.10,tcp,80,http,cloudflare/cloudflare,
airbnbcitizen.com,104.25.201.10,tcp,443,http,cloudflare/cloudflare,
airbnbcitizen.com,104.25.201.10,tcp,443,https,cloudflare/cloudflare,
api.airbnb.com,23.78.54.157,tcp,80,http,nginx/nginx,
api.airbnb.com,23.78.54.157,tcp,443,https,nginx/nginx,
assets.airbnb.com,23.78.51.84,tcp,80,http,amazon/s3,
assets.airbnb.com,23.78.51.84,tcp,443,https,amazon/s3,
callbacks.airbnb.com,23.78.51.84,tcp,80,http,nginx/nginx,
callbacks.airbnb.com,23.78.51.84,tcp,443,https,nginx/nginx,
luxuryretreats.com,23.222.36.134,tcp,80,http,akamai/ghost,
luxuryretreats.com,23.222.36.134,tcp,443,https,akamai/ghost,
m.airbnb.com,23.78.51.84,tcp,80,http,nginx/nginx,
m.airbnb.com,23.78.51.84,tcp,443,https,nginx/nginx,
next.airbnb.com,23.78.51.84,tcp,80,http,akamai/ghost,
next.airbnb.com,23.78.51.84,tcp,443,https,nginx/nginx,
one.airbnb.com,23.78.51.84,tcp,80,http,akamai/ghost,
open.airbnb.com,23.78.51.84,tcp,80,http,akamai/ghost,
open.airbnb.com,23.78.51.84,tcp,443,https,nginx/nginx,
support-api.airbnb.com,23.78.51.84,tcp,80,http,nginx/nginx,
support-api.airbnb.com,23.78.51.84,tcp,443,https,nginx/nginx,
www.airbnb.com,23.78.54.157,tcp,80,http,akamai/ghost,
www.airbnb.com,23.78.54.157,tcp,443,https,nginx/nginx,
www.airbnbcitizen.com,104.25.200.10,tcp,80,http,cloudflare/cloudflare,
www.airbnbcitizen.com,104.25.200.10,tcp,443,http,cloudflare/cloudflare,
www.airbnbcitizen.com,104.25.200.10,tcp,443,https,cloudflare/cloudflare,
www.airbnbcitizen.com,104.25.201.10,tcp,80,http,cloudflare/cloudflare,
www.airbnbcitizen.com,104.25.201.10,tcp,443,http,cloudflare/cloudflare,
www.airbnbcitizen.com,104.25.201.10,tcp,443,https,cloudflare/cloudflare,
www.luxuryretreats.com,104.85.176.27,tcp,80,http,nginx/nginx,
www.luxuryretreats.com,104.85.176.27,tcp,443,https,nginx/nginx,
