Chain,Depth,Type,Name
1,0,DNS,a0.muscache.com
1,0,DNS,www.airbnb.ae
1,0,DNS,www.airbnb.es
1,0,DNS,www.airbnb.co.uk
1,0,DNS,airbnb.com
1,0,DNS,www.airbnb.de
1,0,DNS,a1.muscache.com
1,0,DNS,www.airbnb.co.kr
1,0,DNS,www.airbnb.it
1,0,DNS,www.airbnb.com.sg
1,0,DNS,www.airbnb.ru
1,0,DNS,www.airbnb.ch
1,0,DNS,www.airbnb.com.au
1,0,DNS,a2.muscache.com
1,0,DNS,api.airbnb.com
1,0,DNS,www.airbnb.fr
1,0,DNS,www.airbnb.jp
1,0,DNS,www.airbnb.nl
1,0,DNS,www.airbnb.com.tw
1,0,DNS,www.airbnb.ca
1,0,DNS,www.airbnb.com
1,0,DNS,www.airbnb.com.br
2,0,DNS,airbnb.com
2,0,DNS,airbnb.ru
2,0,DNS,airbnb.com.sg
2,0,DNS,airbnb.pt
2,0,DNS,airbnb.co.uk
2,0,DNS,airbnb.ch
2,0,DNS,airbnb.ie
2,0,DNS,airbnb.co.kr
2,0,DNS,airbnb.co.il
2,0,DNS,airbnb.ca
2,0,DNS,airbnb.se
2,0,DNS,airbnb.cz
2,0,DNS,airbnb.com.hr
2,0,DNS,airbnb.at
2,0,DNS,airbnb.es
2,0,DNS,airbnb.hu
2,0,DNS,airbnb.no
2,0,DNS,airbnb.com.hk
2,0,DNS,airbnb.nl
2,0,DNS,airbnb.jp
2,0,DNS,airbnb.co.nz
2,0,DNS,airbnb.com.vn
2,0,DNS,airbnb.be
2,0,DNS,airbnb.dk
2,0,DNS,airbnb.fr
2,0,DNS,airbnb.com.my
2,0,DNS,airbnb.com.br
2,0,DNS,airbnb.fi
2,0,DNS,airbnb.com.tr
2,0,DNS,airbnb.de
2,0,DNS,airbnb.com.tw
2,0,DNS,airbnb.mx
2,0,DNS,abb.travel
2,0,DNS,airbnb.travel
2,0,DNS,airbnb.com.au
2,0,DNS,airbnb.cat
2,0,DNS,airbnb.it
2,0,DNS,airbnb.is
2,0,DNS,airbnb.com.ua
2,0,DNS,airbnb.co.id
2,0,DNS,airbnb.pl
2,0,DNS,airbnb.gr
3,0,DNS,*.luxuryretreats.com
3,0,DNS,*.lrbeta.com
3,0,DNS,luxuryretreats.com
3,0,DNS,lrbeta.com
4,0,DNS,*.airbnb.com
4,0,DNS,air.tl
4,0,DNS,fr.airbnb.be
4,0,DNS,fr.airbnb.ca
4,0,DNS,fr.airbnb.ch
4,0,DNS,it.airbnb.ch
4,0,DNS,de.airbnb.lu
4,0,DNS,*.internal.airbnb.com
4,0,DNS,*.muscache.com
4,0,DNS,*.next.airbnb.com
4,0,DNS,airbnb.com
5,0,DNS,*.airbnbcitizen.com
5,0,DNS,airbnbcitizen.com
