Host,Address,Transport,Port,Service
airbnb.com,34.200.100.113,tcp,80,http
airbnb.com,34.200.100.113,tcp,443,http
airbnb.com,34.200.100.113,tcp,443,https
airbnb.com,34.236.209.77,tcp,80,http
airbnb.com,34.236.209.77,tcp,443,http
airbnb.com,34.236.209.77,tcp,443,https
airbnb.com,52.205.157.89,tcp,80,http
airbnb.com,52.205.157.89,tcp,443,http
airbnb.com,52.205.157.89,tcp,443,https
airbnbcitizen.com,104.25.200.10,tcp,80,http
airbnbcitizen.com,104.25.200.10,tcp,443,http
airbnbcitizen.com,104.25.200.10,tcp,443,https
airbnbcitizen.com,104.25.200.10,tcp,8080,unknown
airbnbcitizen.com,104.25.200.10,tcp,8443,unknown
airbnbcitizen.com,104.25.201.10,tcp,80,http
airbnbcitizen.com,104.25.201.10,tcp,443,http
airbnbcitizen.com,104.25.201.10,tcp,443,https
airbnbcitizen.com,104.25.201.10,tcp,8080,unknown
airbnbcitizen.com,104.25.201.10,tcp,8443,unknown
api.airbnb.com,2.18.76.47,tcp,80,http
api.airbnb.com,2.18.76.47,tcp,443,https
assets.airbnb.com,95.100.9.88,tcp,80,http
assets.airbnb.com,95.100.9.88,tcp,443,https
callbacks.airbnb.com,95.100.9.88,tcp,80,http
callbacks.airbnb.com,95.100.9.88,tcp,443,https
luxuryretreats.com,23.15.101.121,tcp,80,http
luxuryretreats.com,23.15.101.121,tcp,443,https
m.airbnb.com,95.100.9.88,tcp,80,http
m.airbnb.com,95.100.9.88,tcp,443,https
next.airbnb.com,95.100.9.88,tcp,80,http
next.airbnb.com,95.100.9.88,tcp,443,https
one.airbnb.com,95.100.9.88,tcp,80,http
one.airbnb.com,95.100.9.88,tcp,443,https
open.airbnb.com,95.100.9.88,tcp,80,http
open.airbnb.com,95.100.9.88,tcp,443,https
support-api.airbnb.com,95.100.9.88,tcp,80,http
support-api.airbnb.com,95.100.9.88,tcp,443,https
www.airbnb.com,2.18.76.47,tcp,80,http
www.airbnb.com,2.18.76.47,tcp,443,https
www.airbnbcitizen.com,104.25.200.10,tcp,80,http
www.airbnbcitizen.com,104.25.200.10,tcp,443,http
www.airbnbcitizen.com,104.25.200.10,tcp,443,https
www.airbnbcitizen.com,104.25.200.10,tcp,8080,unknown
www.airbnbcitizen.com,104.25.200.10,tcp,8443,unknown
www.airbnbcitizen.com,104.25.201.10,tcp,80,http
www.airbnbcitizen.com,104.25.201.10,tcp,443,http
www.airbnbcitizen.com,104.25.201.10,tcp,443,https
www.airbnbcitizen.com,104.25.201.10,tcp,8080,unknown
www.airbnbcitizen.com,104.25.201.10,tcp,8443,unknown
www.luxuryretreats.com,104.85.176.27,tcp,80,http
www.luxuryretreats.com,104.85.176.27,tcp,443,https
