Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
bitmex.com,52.85.255.35,tcp,443,https,0,/CN=bitmex.com,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","Jul 25 00:00:00 2018 GMT","Aug 25 12:00:00 2019 GMT"
bitmex.com,52.85.255.35,tcp,443,https,1,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","/C=US/O=Amazon/CN=Amazon Root CA 1","Oct 22 00:00:00 2015 GMT","Oct 19 00:00:00 2025 GMT"
bitmex.com,52.85.255.35,tcp,443,https,2,"/C=US/O=Amazon/CN=Amazon Root CA 1","/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","May 25 12:00:00 2015 GMT","Dec 31 01:00:00 2037 GMT"
bitmex.com,52.85.255.35,tcp,443,https,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority","Sep  2 00:00:00 2009 GMT","Jun 28 17:39:16 2034 GMT"
bitmex.com,52.85.255.119,tcp,443,https,0,/CN=bitmex.com,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","Jul 25 00:00:00 2018 GMT","Aug 25 12:00:00 2019 GMT"
bitmex.com,52.85.255.119,tcp,443,https,1,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","/C=US/O=Amazon/CN=Amazon Root CA 1","Oct 22 00:00:00 2015 GMT","Oct 19 00:00:00 2025 GMT"
bitmex.com,52.85.255.119,tcp,443,https,2,"/C=US/O=Amazon/CN=Amazon Root CA 1","/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","May 25 12:00:00 2015 GMT","Dec 31 01:00:00 2037 GMT"
bitmex.com,52.85.255.119,tcp,443,https,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority","Sep  2 00:00:00 2009 GMT","Jun 28 17:39:16 2034 GMT"
bitmex.com,52.85.255.148,tcp,443,https,0,/CN=bitmex.com,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","Jul 25 00:00:00 2018 GMT","Aug 25 12:00:00 2019 GMT"
bitmex.com,52.85.255.148,tcp,443,https,1,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","/C=US/O=Amazon/CN=Amazon Root CA 1","Oct 22 00:00:00 2015 GMT","Oct 19 00:00:00 2025 GMT"
bitmex.com,52.85.255.148,tcp,443,https,2,"/C=US/O=Amazon/CN=Amazon Root CA 1","/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","May 25 12:00:00 2015 GMT","Dec 31 01:00:00 2037 GMT"
bitmex.com,52.85.255.148,tcp,443,https,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority","Sep  2 00:00:00 2009 GMT","Jun 28 17:39:16 2034 GMT"
bitmex.com,52.85.255.245,tcp,443,https,0,/CN=bitmex.com,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","Jul 25 00:00:00 2018 GMT","Aug 25 12:00:00 2019 GMT"
bitmex.com,52.85.255.245,tcp,443,https,1,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","/C=US/O=Amazon/CN=Amazon Root CA 1","Oct 22 00:00:00 2015 GMT","Oct 19 00:00:00 2025 GMT"
bitmex.com,52.85.255.245,tcp,443,https,2,"/C=US/O=Amazon/CN=Amazon Root CA 1","/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","May 25 12:00:00 2015 GMT","Dec 31 01:00:00 2037 GMT"
bitmex.com,52.85.255.245,tcp,443,https,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority","Sep  2 00:00:00 2009 GMT","Jun 28 17:39:16 2034 GMT"
public.bitmex.com,52.222.157.47,tcp,443,https,0,/CN=public.bitmex.com,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","May  8 00:00:00 2019 GMT","Jun  8 12:00:00 2020 GMT"
public.bitmex.com,52.222.157.47,tcp,443,https,1,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","/C=US/O=Amazon/CN=Amazon Root CA 1","Oct 22 00:00:00 2015 GMT","Oct 19 00:00:00 2025 GMT"
public.bitmex.com,52.222.157.47,tcp,443,https,2,"/C=US/O=Amazon/CN=Amazon Root CA 1","/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","May 25 12:00:00 2015 GMT","Dec 31 01:00:00 2037 GMT"
public.bitmex.com,52.222.157.47,tcp,443,https,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority","Sep  2 00:00:00 2009 GMT","Jun 28 17:39:16 2034 GMT"
public.bitmex.com,52.222.157.53,tcp,443,https,0,/CN=public.bitmex.com,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","May  8 00:00:00 2019 GMT","Jun  8 12:00:00 2020 GMT"
public.bitmex.com,52.222.157.53,tcp,443,https,1,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","/C=US/O=Amazon/CN=Amazon Root CA 1","Oct 22 00:00:00 2015 GMT","Oct 19 00:00:00 2025 GMT"
public.bitmex.com,52.222.157.53,tcp,443,https,2,"/C=US/O=Amazon/CN=Amazon Root CA 1","/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","May 25 12:00:00 2015 GMT","Dec 31 01:00:00 2037 GMT"
public.bitmex.com,52.222.157.53,tcp,443,https,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority","Sep  2 00:00:00 2009 GMT","Jun 28 17:39:16 2034 GMT"
public.bitmex.com,52.222.157.78,tcp,443,https,0,/CN=public.bitmex.com,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","May  8 00:00:00 2019 GMT","Jun  8 12:00:00 2020 GMT"
public.bitmex.com,52.222.157.78,tcp,443,https,1,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","/C=US/O=Amazon/CN=Amazon Root CA 1","Oct 22 00:00:00 2015 GMT","Oct 19 00:00:00 2025 GMT"
public.bitmex.com,52.222.157.78,tcp,443,https,2,"/C=US/O=Amazon/CN=Amazon Root CA 1","/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","May 25 12:00:00 2015 GMT","Dec 31 01:00:00 2037 GMT"
public.bitmex.com,52.222.157.78,tcp,443,https,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority","Sep  2 00:00:00 2009 GMT","Jun 28 17:39:16 2034 GMT"
public.bitmex.com,52.222.157.147,tcp,443,https,0,/CN=public.bitmex.com,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","May  8 00:00:00 2019 GMT","Jun  8 12:00:00 2020 GMT"
public.bitmex.com,52.222.157.147,tcp,443,https,1,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","/C=US/O=Amazon/CN=Amazon Root CA 1","Oct 22 00:00:00 2015 GMT","Oct 19 00:00:00 2025 GMT"
