Host,Address,Transport,Port,Service,Component,Version
blockimmo.ch,99.86.115.24,tcp,80,http,amazon/cloudfront,
blockimmo.ch,99.86.115.24,tcp,443,http,amazon/cloudfront,
blockimmo.ch,99.86.115.24,tcp,443,https,amazon/s3,
blockimmo.ch,99.86.115.46,tcp,80,http,amazon/cloudfront,
blockimmo.ch,99.86.115.46,tcp,443,http,amazon/cloudfront,
blockimmo.ch,99.86.115.46,tcp,443,https,amazon/s3,
blockimmo.ch,99.86.115.72,tcp,80,http,amazon/cloudfront,
blockimmo.ch,99.86.115.72,tcp,443,http,amazon/cloudfront,
blockimmo.ch,99.86.115.72,tcp,443,https,amazon/s3,
blockimmo.ch,99.86.115.104,tcp,80,http,amazon/cloudfront,
blockimmo.ch,99.86.115.104,tcp,443,http,amazon/cloudfront,
blockimmo.ch,99.86.115.104,tcp,443,https,amazon/s3,
