Host,Address,Transport,Port,Service
blockimmo.ch,143.204.101.47,tcp,80,http
blockimmo.ch,143.204.101.47,tcp,443,http
blockimmo.ch,143.204.101.47,tcp,443,https
blockimmo.ch,143.204.101.54,tcp,80,http
blockimmo.ch,143.204.101.54,tcp,443,http
blockimmo.ch,143.204.101.54,tcp,443,https
blockimmo.ch,143.204.101.90,tcp,80,http
blockimmo.ch,143.204.101.90,tcp,443,http
blockimmo.ch,143.204.101.90,tcp,443,https
blockimmo.ch,143.204.101.121,tcp,80,http
blockimmo.ch,143.204.101.121,tcp,443,http
blockimmo.ch,143.204.101.121,tcp,443,https
