Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
bedpost.casper.com,104.16.147.97,tcp,443,https,0,"/OU=Domain Control Validated/OU=PositiveSSL Multi-Domain/CN=ssl565691.cloudflaressl.com","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","Mar 17 00:00:00 2019 GMT","Sep 23 23:59:59 2019 GMT"
bedpost.casper.com,104.16.147.97,tcp,443,https,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority","Sep 25 00:00:00 2014 GMT","Sep 24 23:59:59 2029 GMT"
bedpost.casper.com,104.16.147.97,tcp,443,https,2,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
bedpost.casper.com,104.16.147.97,tcp,8443,unknown,0,"/OU=Domain Control Validated/OU=PositiveSSL Multi-Domain/CN=ssl565691.cloudflaressl.com","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","Mar 17 00:00:00 2019 GMT","Sep 23 23:59:59 2019 GMT"
bedpost.casper.com,104.16.147.97,tcp,8443,unknown,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority","Sep 25 00:00:00 2014 GMT","Sep 24 23:59:59 2029 GMT"
bedpost.casper.com,104.16.147.97,tcp,8443,unknown,2,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
bedpost.casper.com,104.18.133.96,tcp,443,https,0,"/OU=Domain Control Validated/OU=PositiveSSL Multi-Domain/CN=ssl565691.cloudflaressl.com","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","Mar 17 00:00:00 2019 GMT","Sep 23 23:59:59 2019 GMT"
bedpost.casper.com,104.18.133.96,tcp,443,https,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority","Sep 25 00:00:00 2014 GMT","Sep 24 23:59:59 2029 GMT"
bedpost.casper.com,104.18.133.96,tcp,443,https,2,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
bedpost.casper.com,104.18.133.96,tcp,8443,unknown,0,"/OU=Domain Control Validated/OU=PositiveSSL Multi-Domain/CN=ssl565691.cloudflaressl.com","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","Mar 17 00:00:00 2019 GMT","Sep 23 23:59:59 2019 GMT"
