Host,Address,Transport,Port,Service,Component,Version
bedpost.casper.com,104.16.147.97,tcp,80,http,cloudflare/cloudflare,
bedpost.casper.com,104.16.147.97,tcp,443,http,cloudflare/cloudflare,
bedpost.casper.com,104.16.147.97,tcp,443,https,cloudflare/cloudflare,
bedpost.casper.com,104.18.133.96,tcp,80,http,cloudflare/cloudflare,
bedpost.casper.com,104.18.133.96,tcp,443,http,cloudflare/cloudflare,
bedpost.casper.com,104.18.133.96,tcp,443,https,cloudflare/cloudflare,
bedpost.casper.com,2606:4700::6810:9361,tcp,80,http,cloudflare/cloudflare,
bedpost.casper.com,2606:4700::6810:9361,tcp,443,http,cloudflare/cloudflare,
bedpost.casper.com,2606:4700::6810:9361,tcp,443,https,cloudflare/cloudflare,
bedpost.casper.com,2606:4700::6812:8560,tcp,80,http,cloudflare/cloudflare,
bedpost.casper.com,2606:4700::6812:8560,tcp,443,http,cloudflare/cloudflare,
bedpost.casper.com,2606:4700::6812:8560,tcp,443,https,cloudflare/cloudflare,
