Host,Address,Transport,Port,Service
bedpost.casper.com,104.16.147.97,tcp,80,http
bedpost.casper.com,104.16.147.97,tcp,443,http
bedpost.casper.com,104.16.147.97,tcp,443,https
bedpost.casper.com,104.16.147.97,tcp,8080,unknown
bedpost.casper.com,104.16.147.97,tcp,8443,unknown
bedpost.casper.com,104.18.133.96,tcp,80,http
bedpost.casper.com,104.18.133.96,tcp,443,http
bedpost.casper.com,104.18.133.96,tcp,443,https
bedpost.casper.com,104.18.133.96,tcp,8080,unknown
bedpost.casper.com,104.18.133.96,tcp,8443,unknown
bedpost.casper.com,2606:4700::6810:9361,tcp,80,http
bedpost.casper.com,2606:4700::6810:9361,tcp,443,http
bedpost.casper.com,2606:4700::6810:9361,tcp,443,https
bedpost.casper.com,2606:4700::6810:9361,tcp,8080,unknown
bedpost.casper.com,2606:4700::6810:9361,tcp,8443,unknown
bedpost.casper.com,2606:4700::6812:8560,tcp,80,http
bedpost.casper.com,2606:4700::6812:8560,tcp,443,http
bedpost.casper.com,2606:4700::6812:8560,tcp,443,https
bedpost.casper.com,2606:4700::6812:8560,tcp,8080,unknown
bedpost.casper.com,2606:4700::6812:8560,tcp,8443,unknown
www.casper.com,151.101.1.131,tcp,80,http
www.casper.com,151.101.1.131,tcp,443,https
www.casper.com,151.101.65.131,tcp,80,http
www.casper.com,151.101.65.131,tcp,443,https
www.casper.com,151.101.129.131,tcp,80,http
www.casper.com,151.101.129.131,tcp,443,https
www.casper.com,151.101.193.131,tcp,80,http
www.casper.com,151.101.193.131,tcp,443,https
