Chain,Depth,Subject,Issuer,Not Valid Before,Not Valid After,# of SANs
1,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=6277903/C=US/ST=California/L=Irvine/O=Chaturbate, LLC/OU=IT/CN=chaturbate.com",/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert ECC Extended Validation Server CA,Apr 11 00:00:00 2018 GMT,Jul 13 12:00:00 2020 GMT,25
1,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert ECC Extended Validation Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Jun 21 12:54:27 2016 GMT,Jun 21 12:54:27 2031 GMT,0
2,0,/C=US/ST=California/L=Lake Forest/O=Multi Media LLC/OU=IT/CN=*.highwebmedia.com,/C=US/O=DigiCert Inc/CN=DigiCert ECC Secure Server CA,Aug 30 00:00:00 2016 GMT,Nov  6 12:00:00 2019 GMT,2
2,1,/C=US/O=DigiCert Inc/CN=DigiCert ECC Secure Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA,Mar  8 12:00:00 2013 GMT,Mar  8 12:00:00 2023 GMT,0
3,0,/C=US/ST=California/L=Lake Forest/O=Multi Media LLC/CN=www.securegatewayaccess.com,/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA,Jun 28 00:00:00 2017 GMT,Sep 25 12:00:00 2020 GMT,2
3,1,/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA,Mar  8 12:00:00 2013 GMT,Mar  8 12:00:00 2023 GMT,0
4,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=secure.chaturbate.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",Mar 18 00:00:00 2019 GMT,Mar 18 12:00:00 2020 GMT,1
4,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Oct 14 12:00:00 2015 GMT,Oct  9 12:00:00 2020 GMT,0
5,0,/C=US/ST=California/L=Lake Forest/O=Multi Media LLC/OU=IT/CN=*.highwebmedia.com,/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA,Jun 22 00:00:00 2017 GMT,Nov  6 12:00:00 2019 GMT,4
5,1,/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA,Mar  8 12:00:00 2013 GMT,Mar  8 12:00:00 2023 GMT,0
6,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=billingsupport.chaturbate.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",Mar 18 00:00:00 2019 GMT,Mar 18 12:00:00 2020 GMT,1
6,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Oct 14 12:00:00 2015 GMT,Oct  9 12:00:00 2020 GMT,0
