Chain,Depth,Type,Name
1,0,DNS,chaturbate.com
1,0,DNS,support.chaturbate.com
1,0,DNS,en.chaturbate.com
1,0,DNS,es.chaturbate.com
1,0,DNS,ei.chaturbate.com
1,0,DNS,fr.chaturbate.com
1,0,DNS,hi.chaturbate.com
1,0,DNS,zh.chaturbate.com
1,0,DNS,ar.chaturbate.com
1,0,DNS,it.chaturbate.com
1,0,DNS,ko.chaturbate.com
1,0,DNS,pt.chaturbate.com
1,0,DNS,secure.chaturbate.com
1,0,DNS,de.chaturbate.com
1,0,DNS,ru.chaturbate.com
1,0,DNS,jp.chaturbate.com
1,0,DNS,tr.chaturbate.com
1,0,DNS,nl.chaturbate.com
1,0,DNS,testbed.chaturbate.com
1,0,DNS,status.chaturbate.com
1,0,DNS,www.chaturbate.com
1,0,DNS,m.chaturbate.com
1,0,DNS,secure2.chaturbate.com
1,0,DNS,blog.chaturbate.com
1,0,DNS,billingsupport.chaturbate.com
2,0,DNS,*.highwebmedia.com
2,0,DNS,highwebmedia.com
3,0,DNS,www.securegatewayaccess.com
3,0,DNS,securegatewayaccess.com
4,0,DNS,secure.chaturbate.com
5,0,DNS,*.highwebmedia.com
5,0,DNS,highwebmedia.com
5,0,DNS,*.chaturbate.com
5,0,DNS,chaturbate.com
6,0,DNS,billingsupport.chaturbate.com
