Host,Address,Transport,Port,Service
billingsupport.chaturbate.com,104.16.119.143,tcp,80,http
billingsupport.chaturbate.com,104.16.119.143,tcp,443,http
billingsupport.chaturbate.com,104.16.119.143,tcp,443,https
billingsupport.chaturbate.com,104.16.119.143,tcp,8080,http
billingsupport.chaturbate.com,104.16.119.143,tcp,8443,unknown
billingsupport.chaturbate.com,104.16.120.143,tcp,80,http
billingsupport.chaturbate.com,104.16.120.143,tcp,443,http
billingsupport.chaturbate.com,104.16.120.143,tcp,443,https
billingsupport.chaturbate.com,104.16.120.143,tcp,8080,http
billingsupport.chaturbate.com,104.16.120.143,tcp,8443,unknown
billingsupport.chaturbate.com,104.16.121.143,tcp,80,http
billingsupport.chaturbate.com,104.16.121.143,tcp,443,http
billingsupport.chaturbate.com,104.16.121.143,tcp,443,https
billingsupport.chaturbate.com,104.16.121.143,tcp,8080,http
billingsupport.chaturbate.com,104.16.121.143,tcp,8443,unknown
billingsupport.chaturbate.com,104.16.122.143,tcp,80,http
billingsupport.chaturbate.com,104.16.122.143,tcp,443,http
billingsupport.chaturbate.com,104.16.122.143,tcp,443,https
billingsupport.chaturbate.com,104.16.122.143,tcp,8080,http
billingsupport.chaturbate.com,104.16.122.143,tcp,8443,unknown
billingsupport.chaturbate.com,104.16.123.143,tcp,80,http
billingsupport.chaturbate.com,104.16.123.143,tcp,443,http
billingsupport.chaturbate.com,104.16.123.143,tcp,443,https
billingsupport.chaturbate.com,104.16.123.143,tcp,8080,http
billingsupport.chaturbate.com,104.16.123.143,tcp,8443,unknown
blog.chaturbate.com,104.16.146.241,tcp,80,http
blog.chaturbate.com,104.16.146.241,tcp,443,http
blog.chaturbate.com,104.16.146.241,tcp,443,https
blog.chaturbate.com,104.16.146.241,tcp,8080,http
blog.chaturbate.com,104.16.146.241,tcp,8443,unknown
blog.chaturbate.com,104.16.147.241,tcp,80,http
blog.chaturbate.com,104.16.147.241,tcp,443,http
blog.chaturbate.com,104.16.147.241,tcp,443,https
blog.chaturbate.com,104.16.147.241,tcp,8080,http
blog.chaturbate.com,104.16.147.241,tcp,8443,unknown
blog.chaturbate.com,2606:4700::6810:92f1,tcp,80,http
blog.chaturbate.com,2606:4700::6810:92f1,tcp,443,http
blog.chaturbate.com,2606:4700::6810:92f1,tcp,443,https
blog.chaturbate.com,2606:4700::6810:92f1,tcp,8080,http
blog.chaturbate.com,2606:4700::6810:92f1,tcp,8443,unknown
blog.chaturbate.com,2606:4700::6810:93f1,tcp,80,http
blog.chaturbate.com,2606:4700::6810:93f1,tcp,443,http
blog.chaturbate.com,2606:4700::6810:93f1,tcp,443,https
blog.chaturbate.com,2606:4700::6810:93f1,tcp,8080,http
blog.chaturbate.com,2606:4700::6810:93f1,tcp,8443,unknown
chaturbate.com,104.16.146.241,tcp,80,http
chaturbate.com,104.16.146.241,tcp,443,http
chaturbate.com,104.16.146.241,tcp,443,https
chaturbate.com,104.16.146.241,tcp,8080,http
chaturbate.com,104.16.146.241,tcp,8443,https
chaturbate.com,104.16.147.241,tcp,80,http
chaturbate.com,104.16.147.241,tcp,443,http
chaturbate.com,104.16.147.241,tcp,443,https
chaturbate.com,104.16.147.241,tcp,8080,http
chaturbate.com,104.16.147.241,tcp,8443,https
chaturbate.com,2606:4700::6810:92f1,tcp,80,http
chaturbate.com,2606:4700::6810:92f1,tcp,443,http
chaturbate.com,2606:4700::6810:92f1,tcp,443,https
chaturbate.com,2606:4700::6810:92f1,tcp,8080,http
chaturbate.com,2606:4700::6810:92f1,tcp,8443,https
chaturbate.com,2606:4700::6810:93f1,tcp,80,http
chaturbate.com,2606:4700::6810:93f1,tcp,443,http
chaturbate.com,2606:4700::6810:93f1,tcp,443,https
chaturbate.com,2606:4700::6810:93f1,tcp,8080,http
chaturbate.com,2606:4700::6810:93f1,tcp,8443,https
highwebmedia.com,64.38.230.2,tcp,80,http
highwebmedia.com,64.38.230.2,tcp,443,http
highwebmedia.com,64.38.230.2,tcp,443,https
m.chaturbate.com,104.16.146.241,tcp,80,http
m.chaturbate.com,104.16.146.241,tcp,443,http
m.chaturbate.com,104.16.146.241,tcp,443,https
m.chaturbate.com,104.16.146.241,tcp,8080,http
m.chaturbate.com,104.16.146.241,tcp,8443,https
m.chaturbate.com,104.16.147.241,tcp,80,http
m.chaturbate.com,104.16.147.241,tcp,443,http
m.chaturbate.com,104.16.147.241,tcp,443,https
m.chaturbate.com,104.16.147.241,tcp,8080,http
m.chaturbate.com,104.16.147.241,tcp,8443,https
m.chaturbate.com,2606:4700::6810:92f1,tcp,80,http
m.chaturbate.com,2606:4700::6810:92f1,tcp,443,http
m.chaturbate.com,2606:4700::6810:92f1,tcp,443,https
m.chaturbate.com,2606:4700::6810:92f1,tcp,8080,http
m.chaturbate.com,2606:4700::6810:92f1,tcp,8443,https
m.chaturbate.com,2606:4700::6810:93f1,tcp,80,http
m.chaturbate.com,2606:4700::6810:93f1,tcp,443,http
m.chaturbate.com,2606:4700::6810:93f1,tcp,443,https
m.chaturbate.com,2606:4700::6810:93f1,tcp,8080,http
m.chaturbate.com,2606:4700::6810:93f1,tcp,8443,https
secure.chaturbate.com,104.16.119.143,tcp,80,http
secure.chaturbate.com,104.16.119.143,tcp,443,http
secure.chaturbate.com,104.16.119.143,tcp,443,https
secure.chaturbate.com,104.16.119.143,tcp,8080,unknown
secure.chaturbate.com,104.16.119.143,tcp,8443,unknown
secure.chaturbate.com,104.16.120.143,tcp,80,http
secure.chaturbate.com,104.16.120.143,tcp,443,http
secure.chaturbate.com,104.16.120.143,tcp,443,https
secure.chaturbate.com,104.16.120.143,tcp,8080,unknown
secure.chaturbate.com,104.16.120.143,tcp,8443,unknown
secure.chaturbate.com,104.16.121.143,tcp,80,http
secure.chaturbate.com,104.16.121.143,tcp,443,http
secure.chaturbate.com,104.16.121.143,tcp,443,https
secure.chaturbate.com,104.16.121.143,tcp,8080,unknown
secure.chaturbate.com,104.16.121.143,tcp,8443,unknown
secure.chaturbate.com,104.16.122.143,tcp,80,http
secure.chaturbate.com,104.16.122.143,tcp,443,http
secure.chaturbate.com,104.16.122.143,tcp,443,https
secure.chaturbate.com,104.16.122.143,tcp,8080,unknown
secure.chaturbate.com,104.16.122.143,tcp,8443,unknown
secure.chaturbate.com,104.16.123.143,tcp,80,http
secure.chaturbate.com,104.16.123.143,tcp,443,http
secure.chaturbate.com,104.16.123.143,tcp,443,https
secure.chaturbate.com,104.16.123.143,tcp,8080,unknown
secure.chaturbate.com,104.16.123.143,tcp,8443,unknown
securegatewayaccess.com,104.16.255.108,tcp,80,http
securegatewayaccess.com,104.16.255.108,tcp,443,http
securegatewayaccess.com,104.16.255.108,tcp,443,https
securegatewayaccess.com,104.16.255.108,tcp,8080,http
securegatewayaccess.com,104.16.255.108,tcp,8443,unknown
securegatewayaccess.com,104.17.1.108,tcp,80,http
securegatewayaccess.com,104.17.1.108,tcp,443,http
securegatewayaccess.com,104.17.1.108,tcp,443,https
securegatewayaccess.com,104.17.1.108,tcp,8080,http
securegatewayaccess.com,104.17.1.108,tcp,8443,unknown
status.chaturbate.com,104.16.146.241,tcp,80,http
status.chaturbate.com,104.16.146.241,tcp,443,http
status.chaturbate.com,104.16.146.241,tcp,443,https
status.chaturbate.com,104.16.146.241,tcp,8080,http
status.chaturbate.com,104.16.146.241,tcp,8443,unknown
status.chaturbate.com,104.16.147.241,tcp,80,http
status.chaturbate.com,104.16.147.241,tcp,443,http
status.chaturbate.com,104.16.147.241,tcp,443,https
status.chaturbate.com,104.16.147.241,tcp,8080,http
