Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
accounts.creditkarma.com,23.43.130.95,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=4313894/C=US/ST=California/L=San Francisco/O=Credit Karma Inc./OU=Operations/CN=accounts.creditkarma.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Apr  2 00:00:00 2019 GMT","Jun  2 12:00:00 2021 GMT"
accounts.creditkarma.com,23.43.130.95,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
api.creditkarma.com,2.16.68.79,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Credit Karma Inc./OU=Operations/CN=*.creditkarma.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Apr 12 00:00:00 2017 GMT","Jun 22 12:00:00 2020 GMT"
api.creditkarma.com,2.16.68.79,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
blog.creditkarma.com,192.0.66.2,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=4313894/C=US/ST=California/L=San Francisco/O=Credit Karma Inc./OU=Operations/CN=blog.creditkarma.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Aug 22 00:00:00 2018 GMT","Jun 26 12:00:00 2019 GMT"
blog.creditkarma.com,192.0.66.2,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
creditkarma.com,23.2.221.142,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=4313894/street=Suite 1000/street=760 Market Street/postalCode=94102/C=US/ST=California/L=San Francisco/O=Credit Karma Inc./OU=Operations/CN=www.creditkarma.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Apr 13 00:00:00 2017 GMT","Jun 26 12:00:00 2019 GMT"
creditkarma.com,23.2.221.142,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
help.creditkarma.com,104.16.51.111,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=4313894/C=US/ST=California/L=San Francisco/O=Credit Karma Inc./OU=Credit Karma/CN=help.creditkarma.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Sep 27 00:00:00 2018 GMT","Nov 18 12:00:00 2020 GMT"
help.creditkarma.com,104.16.51.111,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
help.creditkarma.com,104.16.51.111,tcp,8443,unknown,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=4313894/C=US/ST=California/L=San Francisco/O=Credit Karma Inc./OU=Credit Karma/CN=help.creditkarma.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Sep 27 00:00:00 2018 GMT","Nov 18 12:00:00 2020 GMT"
help.creditkarma.com,104.16.51.111,tcp,8443,unknown,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
help.creditkarma.com,104.16.52.111,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=4313894/C=US/ST=California/L=San Francisco/O=Credit Karma Inc./OU=Credit Karma/CN=help.creditkarma.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Sep 27 00:00:00 2018 GMT","Nov 18 12:00:00 2020 GMT"
help.creditkarma.com,104.16.52.111,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
help.creditkarma.com,104.16.52.111,tcp,8443,unknown,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=4313894/C=US/ST=California/L=San Francisco/O=Credit Karma Inc./OU=Credit Karma/CN=help.creditkarma.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Sep 27 00:00:00 2018 GMT","Nov 18 12:00:00 2020 GMT"
