Chain,Depth,Subject,Issuer,Not Valid Before,Not Valid After,# of SANs
1,0,/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=4313894/C=US/ST=California/L=San Francisco/O=Credit Karma Inc./OU=Operations/CN=accounts.creditkarma.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,Apr  2 00:00:00 2019 GMT,Jun  2 12:00:00 2021 GMT,1
1,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
2,0,/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=4313894/C=US/ST=California/L=San Francisco/O=Credit Karma Inc./CN=www.creditkarma.ca,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,Mar 14 00:00:00 2018 GMT,Mar 20 12:00:00 2020 GMT,2
2,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
3,0,/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=4313894/street=Suite 1000/street=760 Market Street/postalCode=94102/C=US/ST=California/L=San Francisco/O=Credit Karma Inc./OU=Operations/CN=www.creditkarma.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,Apr 13 00:00:00 2017 GMT,Jun 26 12:00:00 2019 GMT,3
3,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
4,0,/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=4313894/C=US/ST=California/L=San Francisco/O=Credit Karma Inc./CN=tax.creditkarma.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,Sep 27 00:00:00 2018 GMT,Oct  1 12:00:00 2020 GMT,1
4,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
5,0,/C=US/ST=California/L=San Francisco/O=Credit Karma Inc./OU=Operations/CN=*.creditkarma.com,/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA,Apr 12 00:00:00 2017 GMT,Jun 22 12:00:00 2020 GMT,2
5,1,/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA,Mar  8 12:00:00 2013 GMT,Mar  8 12:00:00 2023 GMT,0
6,0,/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=4313894/C=US/ST=California/L=San Francisco/O=Credit Karma Inc./OU=Credit Karma/CN=help.creditkarma.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,Sep 27 00:00:00 2018 GMT,Nov 18 12:00:00 2020 GMT,3
6,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
7,0,/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=4313894/C=US/ST=California/L=San Francisco/O=Credit Karma Inc./OU=Operations/CN=blog.creditkarma.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,Aug 22 00:00:00 2018 GMT,Jun 26 12:00:00 2019 GMT,1
7,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
