Host,Address,Transport,Port,Service,Component,Version
accounts.creditkarma.com,69.192.72.99,tcp,80,http,akamai/ghost,
api.creditkarma.com,88.221.190.205,tcp,80,http,akamai/ghost,
blog.creditkarma.com,192.0.66.2,tcp,80,http,nginx/nginx,
blog.creditkarma.com,192.0.66.2,tcp,443,http,nginx/nginx,
blog.creditkarma.com,192.0.66.2,tcp,443,https,nginx/nginx,
creditkarma.com,104.122.220.208,tcp,80,http,akamai/ghost,
help.creditkarma.com,104.16.51.111,tcp,80,http,cloudflare/cloudflare,
help.creditkarma.com,104.16.51.111,tcp,443,http,cloudflare/cloudflare,
help.creditkarma.com,104.16.51.111,tcp,443,https,cloudflare/cloudflare,
help.creditkarma.com,104.16.52.111,tcp,80,http,cloudflare/cloudflare,
help.creditkarma.com,104.16.52.111,tcp,443,http,cloudflare/cloudflare,
help.creditkarma.com,104.16.52.111,tcp,443,https,cloudflare/cloudflare,
help.creditkarma.com,104.16.53.111,tcp,80,http,cloudflare/cloudflare,
help.creditkarma.com,104.16.53.111,tcp,443,http,cloudflare/cloudflare,
help.creditkarma.com,104.16.53.111,tcp,443,https,cloudflare/cloudflare,
help.creditkarma.com,104.16.54.111,tcp,80,http,cloudflare/cloudflare,
help.creditkarma.com,104.16.54.111,tcp,443,http,cloudflare/cloudflare,
help.creditkarma.com,104.16.54.111,tcp,443,https,cloudflare/cloudflare,
help.creditkarma.com,104.16.55.111,tcp,80,http,cloudflare/cloudflare,
help.creditkarma.com,104.16.55.111,tcp,443,http,cloudflare/cloudflare,
help.creditkarma.com,104.16.55.111,tcp,443,https,cloudflare/cloudflare,
tax.creditkarma.com,2.20.170.196,tcp,80,http,akamai/ghost,
tax.creditkarma.com,2.20.170.196,tcp,443,https,nginx/nginx,1.15.6
www.creditkarma.ca,23.62.145.96,tcp,80,http,akamai/ghost,
www.creditkarma.com,92.122.86.135,tcp,80,http,akamai/ghost,
