Host,Address,Transport,Port,Service
accounts.creditkarma.com,23.43.130.95,tcp,80,http
accounts.creditkarma.com,23.43.130.95,tcp,443,https
api.creditkarma.com,2.16.68.79,tcp,80,http
api.creditkarma.com,2.16.68.79,tcp,443,https
blog.creditkarma.com,192.0.66.2,tcp,80,http
blog.creditkarma.com,192.0.66.2,tcp,443,http
blog.creditkarma.com,192.0.66.2,tcp,443,https
creditkarma.com,23.2.221.142,tcp,80,http
creditkarma.com,23.2.221.142,tcp,443,https
help.creditkarma.com,104.16.51.111,tcp,80,http
help.creditkarma.com,104.16.51.111,tcp,443,http
help.creditkarma.com,104.16.51.111,tcp,443,https
help.creditkarma.com,104.16.51.111,tcp,8080,unknown
help.creditkarma.com,104.16.51.111,tcp,8443,unknown
help.creditkarma.com,104.16.52.111,tcp,80,http
help.creditkarma.com,104.16.52.111,tcp,443,http
help.creditkarma.com,104.16.52.111,tcp,443,https
help.creditkarma.com,104.16.52.111,tcp,8080,unknown
help.creditkarma.com,104.16.52.111,tcp,8443,unknown
help.creditkarma.com,104.16.53.111,tcp,80,http
help.creditkarma.com,104.16.53.111,tcp,443,http
help.creditkarma.com,104.16.53.111,tcp,443,https
help.creditkarma.com,104.16.53.111,tcp,8080,unknown
help.creditkarma.com,104.16.53.111,tcp,8443,unknown
help.creditkarma.com,104.16.54.111,tcp,80,http
help.creditkarma.com,104.16.54.111,tcp,443,http
help.creditkarma.com,104.16.54.111,tcp,443,https
help.creditkarma.com,104.16.54.111,tcp,8080,unknown
help.creditkarma.com,104.16.54.111,tcp,8443,unknown
help.creditkarma.com,104.16.55.111,tcp,80,http
help.creditkarma.com,104.16.55.111,tcp,443,http
help.creditkarma.com,104.16.55.111,tcp,443,https
help.creditkarma.com,104.16.55.111,tcp,8080,unknown
help.creditkarma.com,104.16.55.111,tcp,8443,unknown
tax.creditkarma.com,23.43.139.41,tcp,80,http
tax.creditkarma.com,23.43.139.41,tcp,443,https
www.creditkarma.ca,95.100.12.201,tcp,80,http
www.creditkarma.ca,95.100.12.201,tcp,443,https
www.creditkarma.com,88.221.96.173,tcp,80,http
www.creditkarma.com,88.221.96.173,tcp,443,https
