Host,Address,Transport,Port,Service,Component,Version
blog.crowdstrike.com,104.18.215.225,tcp,80,http,cloudflare/cloudflare,
blog.crowdstrike.com,104.18.215.225,tcp,443,http,cloudflare/cloudflare,
blog.crowdstrike.com,104.18.215.225,tcp,443,https,cloudflare/cloudflare,
blog.crowdstrike.com,104.18.215.225,tcp,8080,http,cloudflare/cloudflare,
blog.crowdstrike.com,104.18.216.225,tcp,80,http,cloudflare/cloudflare,
blog.crowdstrike.com,104.18.216.225,tcp,443,http,cloudflare/cloudflare,
blog.crowdstrike.com,104.18.216.225,tcp,443,https,cloudflare/cloudflare,
blog.crowdstrike.com,104.18.216.225,tcp,8080,http,cloudflare/cloudflare,
www.crowdstrike.com,104.18.215.225,tcp,80,http,cloudflare/cloudflare,
www.crowdstrike.com,104.18.215.225,tcp,443,http,cloudflare/cloudflare,
www.crowdstrike.com,104.18.215.225,tcp,443,https,cloudflare/cloudflare,
www.crowdstrike.com,104.18.215.225,tcp,8080,http,cloudflare/cloudflare,
www.crowdstrike.com,104.18.216.225,tcp,80,http,cloudflare/cloudflare,
www.crowdstrike.com,104.18.216.225,tcp,443,http,cloudflare/cloudflare,
www.crowdstrike.com,104.18.216.225,tcp,443,https,cloudflare/cloudflare,
www.crowdstrike.com,104.18.216.225,tcp,8080,http,cloudflare/cloudflare,
www.crowdstrike.org,104.20.244.69,tcp,80,http,cloudflare/cloudflare,
www.crowdstrike.org,104.20.244.69,tcp,443,http,cloudflare/cloudflare,
www.crowdstrike.org,104.20.244.69,tcp,443,https,cloudflare/cloudflare,
www.crowdstrike.org,104.20.244.69,tcp,8080,http,cloudflare/cloudflare,
www.crowdstrike.org,104.20.245.69,tcp,80,http,cloudflare/cloudflare,
www.crowdstrike.org,104.20.245.69,tcp,443,http,cloudflare/cloudflare,
www.crowdstrike.org,104.20.245.69,tcp,443,https,cloudflare/cloudflare,
www.crowdstrike.org,104.20.245.69,tcp,8080,http,cloudflare/cloudflare,
