Host,Address,Transport,Port,Service
blog.crowdstrike.com,104.18.215.225,tcp,80,http
blog.crowdstrike.com,104.18.215.225,tcp,443,http
blog.crowdstrike.com,104.18.215.225,tcp,443,https
blog.crowdstrike.com,104.18.215.225,tcp,8080,http
blog.crowdstrike.com,104.18.215.225,tcp,8443,unknown
blog.crowdstrike.com,104.18.216.225,tcp,80,http
blog.crowdstrike.com,104.18.216.225,tcp,443,http
blog.crowdstrike.com,104.18.216.225,tcp,443,https
blog.crowdstrike.com,104.18.216.225,tcp,8080,http
blog.crowdstrike.com,104.18.216.225,tcp,8443,unknown
www.crowdstrike.com,104.18.215.225,tcp,80,http
www.crowdstrike.com,104.18.215.225,tcp,443,http
www.crowdstrike.com,104.18.215.225,tcp,443,https
www.crowdstrike.com,104.18.215.225,tcp,8080,http
www.crowdstrike.com,104.18.215.225,tcp,8443,unknown
www.crowdstrike.com,104.18.216.225,tcp,80,http
www.crowdstrike.com,104.18.216.225,tcp,443,http
www.crowdstrike.com,104.18.216.225,tcp,443,https
www.crowdstrike.com,104.18.216.225,tcp,8080,http
www.crowdstrike.com,104.18.216.225,tcp,8443,unknown
www.crowdstrike.org,104.20.244.69,tcp,80,http
www.crowdstrike.org,104.20.244.69,tcp,443,http
www.crowdstrike.org,104.20.244.69,tcp,443,https
www.crowdstrike.org,104.20.244.69,tcp,8080,http
www.crowdstrike.org,104.20.244.69,tcp,8443,unknown
www.crowdstrike.org,104.20.245.69,tcp,80,http
www.crowdstrike.org,104.20.245.69,tcp,443,http
www.crowdstrike.org,104.20.245.69,tcp,443,https
www.crowdstrike.org,104.20.245.69,tcp,8080,http
www.crowdstrike.org,104.20.245.69,tcp,8443,unknown
