Chain,Depth,Subject,Issuer,Not Valid Before,Not Valid After,# of SANs
1,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=deliveroo.ie","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",Sep 28 00:00:00 2018 GMT,Sep 28 12:00:00 2019 GMT,2
1,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Oct 14 12:00:00 2015 GMT,Oct  9 12:00:00 2020 GMT,0
2,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=deliveroo.fr","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",Sep 23 00:00:00 2018 GMT,Sep 23 12:00:00 2019 GMT,2
2,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Oct 14 12:00:00 2015 GMT,Oct  9 12:00:00 2020 GMT,0
3,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=deliveroo.com.sg","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",Oct 24 00:00:00 2018 GMT,Oct 24 12:00:00 2019 GMT,2
3,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Oct 14 12:00:00 2015 GMT,Oct  9 12:00:00 2020 GMT,0
4,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=deliveroo.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",Sep 23 00:00:00 2018 GMT,Sep 23 12:00:00 2019 GMT,2
4,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Oct 14 12:00:00 2015 GMT,Oct  9 12:00:00 2020 GMT,0
6,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=deliveroo.be","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",Sep 28 00:00:00 2018 GMT,Sep 28 12:00:00 2019 GMT,2
6,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Oct 14 12:00:00 2015 GMT,Oct  9 12:00:00 2020 GMT,0
7,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=deliveroo.ae","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",Sep 28 00:00:00 2018 GMT,Sep 28 12:00:00 2019 GMT,2
7,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Oct 14 12:00:00 2015 GMT,Oct  9 12:00:00 2020 GMT,0
8,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=deliveroo.co.uk","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",Sep 28 00:00:00 2018 GMT,Sep 28 12:00:00 2019 GMT,2
8,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Oct 14 12:00:00 2015 GMT,Oct  9 12:00:00 2020 GMT,0
9,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=deliveroo.nl","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",Sep 28 00:00:00 2018 GMT,Sep 28 12:00:00 2019 GMT,2
9,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Oct 14 12:00:00 2015 GMT,Oct  9 12:00:00 2020 GMT,0
10,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=deliveroo.de","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",Sep 28 00:00:00 2018 GMT,Sep 28 12:00:00 2019 GMT,2
10,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Oct 14 12:00:00 2015 GMT,Oct  9 12:00:00 2020 GMT,0
11,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=deliveroo.es","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",Oct  7 00:00:00 2018 GMT,Oct  7 12:00:00 2019 GMT,2
11,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Oct 14 12:00:00 2015 GMT,Oct  9 12:00:00 2020 GMT,0
12,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=deliveroo.hk","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",Sep 28 00:00:00 2018 GMT,Sep 28 12:00:00 2019 GMT,2
12,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Oct 14 12:00:00 2015 GMT,Oct  9 12:00:00 2020 GMT,0
13,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=deliveroo.it","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",Sep 28 00:00:00 2018 GMT,Sep 28 12:00:00 2019 GMT,2
13,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Oct 14 12:00:00 2015 GMT,Oct  9 12:00:00 2020 GMT,0
14,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=deliveroo.com.au","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",Sep 23 00:00:00 2018 GMT,Sep 23 12:00:00 2019 GMT,2
14,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Oct 14 12:00:00 2015 GMT,Oct  9 12:00:00 2020 GMT,0
5,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=deliveroo.net","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",Oct 18 00:00:00 2018 GMT,Oct 18 12:00:00 2019 GMT,2
5,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2",/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Oct 14 12:00:00 2015 GMT,Oct  9 12:00:00 2020 GMT,0
