Chain,Depth,Type,Name
1,0,DNS,deliveroo.ie
1,0,DNS,*.deliveroo.ie
2,0,DNS,*.deliveroo.fr
2,0,DNS,deliveroo.fr
3,0,DNS,deliveroo.com.sg
3,0,DNS,*.deliveroo.com.sg
4,0,DNS,*.deliveroo.com
4,0,DNS,deliveroo.com
6,0,DNS,*.deliveroo.be
6,0,DNS,deliveroo.be
7,0,DNS,*.deliveroo.ae
7,0,DNS,deliveroo.ae
8,0,DNS,deliveroo.co.uk
8,0,DNS,*.deliveroo.co.uk
9,0,DNS,deliveroo.nl
9,0,DNS,*.deliveroo.nl
10,0,DNS,deliveroo.de
10,0,DNS,*.deliveroo.de
11,0,DNS,deliveroo.es
11,0,DNS,*.deliveroo.es
12,0,DNS,deliveroo.hk
12,0,DNS,*.deliveroo.hk
13,0,DNS,*.deliveroo.it
13,0,DNS,deliveroo.it
14,0,DNS,*.deliveroo.com.au
14,0,DNS,deliveroo.com.au
5,0,DNS,*.deliveroo.net
5,0,DNS,deliveroo.net
