Host,Address,Transport,Port,Service
deliveroo.ae,104.16.11.43,tcp,80,http
deliveroo.ae,104.16.11.43,tcp,443,http
deliveroo.ae,104.16.11.43,tcp,443,https
deliveroo.ae,104.16.11.43,tcp,8080,http
deliveroo.ae,104.16.11.43,tcp,8443,unknown
deliveroo.ae,104.16.86.82,tcp,80,http
deliveroo.ae,104.16.86.82,tcp,443,http
deliveroo.ae,104.16.86.82,tcp,443,https
deliveroo.ae,104.16.86.82,tcp,8080,http
deliveroo.ae,104.16.86.82,tcp,8443,unknown
deliveroo.ae,2606:4700::6810:5652,tcp,80,http
deliveroo.ae,2606:4700::6810:5652,tcp,443,http
deliveroo.ae,2606:4700::6810:5652,tcp,443,https
deliveroo.ae,2606:4700::6810:5652,tcp,8080,http
deliveroo.ae,2606:4700::6810:5652,tcp,8443,unknown
deliveroo.ae,2606:4700::6810:b2b,tcp,80,http
deliveroo.ae,2606:4700::6810:b2b,tcp,443,http
deliveroo.ae,2606:4700::6810:b2b,tcp,443,https
deliveroo.ae,2606:4700::6810:b2b,tcp,8080,http
deliveroo.ae,2606:4700::6810:b2b,tcp,8443,unknown
deliveroo.be,104.17.174.71,tcp,80,http
deliveroo.be,104.17.174.71,tcp,443,http
deliveroo.be,104.17.174.71,tcp,443,https
deliveroo.be,104.17.174.71,tcp,8080,http
deliveroo.be,104.17.174.71,tcp,8443,unknown
deliveroo.be,104.17.175.71,tcp,80,http
deliveroo.be,104.17.175.71,tcp,443,http
deliveroo.be,104.17.175.71,tcp,443,https
deliveroo.be,104.17.175.71,tcp,8080,http
deliveroo.be,104.17.175.71,tcp,8443,unknown
deliveroo.be,2606:4700::6811:ae47,tcp,80,http
deliveroo.be,2606:4700::6811:ae47,tcp,443,http
deliveroo.be,2606:4700::6811:ae47,tcp,443,https
deliveroo.be,2606:4700::6811:ae47,tcp,8080,http
deliveroo.be,2606:4700::6811:ae47,tcp,8443,unknown
deliveroo.be,2606:4700::6811:af47,tcp,80,http
