Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
api.electroneum.com,52.73.136.20,tcp,443,https,0,/CN=electroneum.com,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","Jun 28 00:00:00 2018 GMT","Jul 28 12:00:00 2019 GMT"
api.electroneum.com,52.73.136.20,tcp,443,https,1,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","/C=US/O=Amazon/CN=Amazon Root CA 1","Oct 22 00:00:00 2015 GMT","Oct 19 00:00:00 2025 GMT"
api.electroneum.com,52.73.136.20,tcp,443,https,2,"/C=US/O=Amazon/CN=Amazon Root CA 1","/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","May 25 12:00:00 2015 GMT","Dec 31 01:00:00 2037 GMT"
api.electroneum.com,52.73.136.20,tcp,443,https,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority","Sep  2 00:00:00 2009 GMT","Jun 28 17:39:16 2034 GMT"
api.electroneum.com,54.165.226.113,tcp,443,https,0,/CN=electroneum.com,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","Jun 28 00:00:00 2018 GMT","Jul 28 12:00:00 2019 GMT"
api.electroneum.com,54.165.226.113,tcp,443,https,1,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","/C=US/O=Amazon/CN=Amazon Root CA 1","Oct 22 00:00:00 2015 GMT","Oct 19 00:00:00 2025 GMT"
api.electroneum.com,54.165.226.113,tcp,443,https,2,"/C=US/O=Amazon/CN=Amazon Root CA 1","/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","May 25 12:00:00 2015 GMT","Dec 31 01:00:00 2037 GMT"
api.electroneum.com,54.165.226.113,tcp,443,https,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority","Sep  2 00:00:00 2009 GMT","Jun 28 17:39:16 2034 GMT"
my.electroneum.com,192.225.209.8,tcp,443,https,0,/CN=my.electroneum.com,"/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3","Mar 19 18:55:09 2019 GMT","Jun 17 18:55:09 2019 GMT"
my.electroneum.com,192.225.209.8,tcp,443,https,1,"/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3","/O=Digital Signature Trust Co./CN=DST Root CA X3","Mar 17 16:40:46 2016 GMT","Mar 17 16:40:46 2021 GMT"
my.electroneum.com,192.225.209.8,tcp,443,https,2,"/O=Digital Signature Trust Co./CN=DST Root CA X3","/O=Digital Signature Trust Co./CN=DST Root CA X3","Sep 30 21:12:19 2000 GMT","Sep 30 14:01:15 2021 GMT"
