Host,Address,Transport,Port,Service,Component,Version
fanduel.com,13.33.47.30,tcp,80,http,amazon/cloudfront,
fanduel.com,13.33.47.30,tcp,443,http,amazon/cloudfront,
fanduel.com,13.33.47.30,tcp,443,https,nginx/nginx,
fanduel.com,13.33.47.142,tcp,80,http,amazon/cloudfront,
fanduel.com,13.33.47.142,tcp,443,http,amazon/cloudfront,
fanduel.com,13.33.47.142,tcp,443,https,nginx/nginx,
fanduel.com,13.33.47.217,tcp,80,http,amazon/cloudfront,
fanduel.com,13.33.47.217,tcp,443,http,amazon/cloudfront,
fanduel.com,13.33.47.217,tcp,443,https,nginx/nginx,
fanduel.com,13.33.47.222,tcp,80,http,amazon/cloudfront,
fanduel.com,13.33.47.222,tcp,443,http,amazon/cloudfront,
fanduel.com,13.33.47.222,tcp,443,https,nginx/nginx,
fanduel.design,13.33.47.59,tcp,80,http,amazon/cloudfront,
fanduel.design,13.33.47.59,tcp,443,http,amazon/cloudfront,
fanduel.design,13.33.47.59,tcp,443,https,amazon/s3,
fanduel.design,13.33.47.71,tcp,80,http,amazon/cloudfront,
fanduel.design,13.33.47.71,tcp,443,http,amazon/cloudfront,
fanduel.design,13.33.47.71,tcp,443,https,amazon/s3,
fanduel.design,13.33.47.172,tcp,80,http,amazon/cloudfront,
fanduel.design,13.33.47.172,tcp,443,http,amazon/cloudfront,
fanduel.design,13.33.47.172,tcp,443,https,amazon/s3,
fanduel.design,13.33.47.219,tcp,80,http,amazon/cloudfront,
fanduel.design,13.33.47.219,tcp,443,http,amazon/cloudfront,
fanduel.design,13.33.47.219,tcp,443,https,amazon/s3,
www.fanduel.com,13.33.47.30,tcp,80,http,amazon/cloudfront,
www.fanduel.com,13.33.47.30,tcp,443,http,amazon/cloudfront,
www.fanduel.com,13.33.47.30,tcp,443,https,nginx/nginx,
www.fanduel.com,13.33.47.142,tcp,80,http,amazon/cloudfront,
www.fanduel.com,13.33.47.142,tcp,443,http,amazon/cloudfront,
www.fanduel.com,13.33.47.142,tcp,443,https,nginx/nginx,
www.fanduel.com,13.33.47.217,tcp,80,http,amazon/cloudfront,
www.fanduel.com,13.33.47.217,tcp,443,http,amazon/cloudfront,
www.fanduel.com,13.33.47.217,tcp,443,https,nginx/nginx,
www.fanduel.com,13.33.47.222,tcp,80,http,amazon/cloudfront,
www.fanduel.com,13.33.47.222,tcp,443,http,amazon/cloudfront,
www.fanduel.com,13.33.47.222,tcp,443,https,nginx/nginx,
