Host,Address,Transport,Port,Service
fanduel.com,13.33.47.46,tcp,80,http
fanduel.com,13.33.47.46,tcp,443,http
fanduel.com,13.33.47.46,tcp,443,https
fanduel.com,13.33.47.142,tcp,80,http
fanduel.com,13.33.47.142,tcp,443,http
fanduel.com,13.33.47.142,tcp,443,https
fanduel.com,13.33.47.217,tcp,80,http
fanduel.com,13.33.47.217,tcp,443,http
fanduel.com,13.33.47.217,tcp,443,https
fanduel.com,13.33.47.222,tcp,80,http
fanduel.com,13.33.47.222,tcp,443,http
fanduel.com,13.33.47.222,tcp,443,https
fanduel.design,13.33.47.39,tcp,80,http
fanduel.design,13.33.47.39,tcp,443,http
fanduel.design,13.33.47.39,tcp,443,https
fanduel.design,13.33.47.59,tcp,80,http
fanduel.design,13.33.47.59,tcp,443,http
fanduel.design,13.33.47.59,tcp,443,https
fanduel.design,13.33.47.148,tcp,80,http
fanduel.design,13.33.47.148,tcp,443,http
fanduel.design,13.33.47.148,tcp,443,https
fanduel.design,13.33.47.219,tcp,80,http
fanduel.design,13.33.47.219,tcp,443,http
fanduel.design,13.33.47.219,tcp,443,https
www.fanduel.com,52.84.105.42,tcp,80,http
www.fanduel.com,52.84.105.42,tcp,443,http
www.fanduel.com,52.84.105.42,tcp,443,https
www.fanduel.com,52.84.105.86,tcp,80,http
www.fanduel.com,52.84.105.86,tcp,443,http
www.fanduel.com,52.84.105.86,tcp,443,https
www.fanduel.com,52.84.105.107,tcp,80,http
www.fanduel.com,52.84.105.107,tcp,443,http
www.fanduel.com,52.84.105.107,tcp,443,https
www.fanduel.com,52.84.105.194,tcp,80,http
www.fanduel.com,52.84.105.194,tcp,443,http
www.fanduel.com,52.84.105.194,tcp,443,https
