Chain,Depth,Subject,Issuer,Not Valid Before,Not Valid After,# of SANs
1,0,/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=*.yahoo.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,Apr 22 00:00:00 2019 GMT,Jun  6 12:00:00 2019 GMT,76
1,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
2,0,/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=guce.oath.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,Feb 19 00:00:00 2019 GMT,Aug 18 12:00:00 2019 GMT,99
2,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
3,0,/OU=Domain Control Validated/OU=EssentialSSL Wildcard/CN=*.wordpress.com,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA,Sep  6 00:00:00 2018 GMT,Sep  5 23:59:59 2020 GMT,2
3,1,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority,Feb 12 00:00:00 2014 GMT,Feb 11 23:59:59 2029 GMT,0
3,2,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority,/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root,May 30 10:48:38 2000 GMT,May 30 10:48:38 2020 GMT,0
4,0,/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=trunk.guce.oath.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,Feb 15 00:00:00 2019 GMT,Aug 14 12:00:00 2019 GMT,99
4,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
5,0,/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=flickr.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,Jan 16 00:00:00 2019 GMT,Jul 15 12:00:00 2019 GMT,3
5,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
6,0,/CN=help.flickr.com,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,May  8 00:00:00 2019 GMT,Jun  8 12:00:00 2020 GMT,1
6,1,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,/C=US/O=Amazon/CN=Amazon Root CA 1,Oct 22 00:00:00 2015 GMT,Oct 19 00:00:00 2025 GMT,0
6,2,/C=US/O=Amazon/CN=Amazon Root CA 1,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2",May 25 12:00:00 2015 GMT,Dec 31 01:00:00 2037 GMT,0
6,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority",Sep  2 00:00:00 2009 GMT,Jun 28 17:39:16 2034 GMT,0
7,0,/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=stage.guce.oath.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,Feb 19 00:00:00 2019 GMT,Aug 18 12:00:00 2019 GMT,99
7,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
