Host,Address,Transport,Port,Service,Component,Version
appletv.flickr.com,34.193.243.4,tcp,80,http,amazon/awselb,2.0
appletv.flickr.com,34.193.243.4,tcp,443,http,amazon/awselb,2.0
appletv.flickr.com,34.225.235.78,tcp,80,http,amazon/awselb,2.0
appletv.flickr.com,34.225.235.78,tcp,443,http,amazon/awselb,2.0
appletv.flickr.com,52.203.66.54,tcp,80,http,amazon/awselb,2.0
appletv.flickr.com,52.203.66.54,tcp,443,http,amazon/awselb,2.0
appletv.flickr.com,54.152.199.152,tcp,80,http,amazon/awselb,2.0
appletv.flickr.com,54.152.199.152,tcp,443,http,amazon/awselb,2.0
blog.flickr.com,192.0.79.32,tcp,80,http,nginx/nginx,
blog.flickr.com,192.0.79.32,tcp,443,http,nginx/nginx,
blog.flickr.com,192.0.79.32,tcp,443,https,nginx/nginx,
blog.flickr.com,192.0.79.33,tcp,80,http,nginx/nginx,
blog.flickr.com,192.0.79.33,tcp,443,http,nginx/nginx,
blog.flickr.com,192.0.79.33,tcp,443,https,nginx/nginx,
code.flickr.com,192.0.79.32,tcp,80,http,nginx/nginx,
code.flickr.com,192.0.79.32,tcp,443,http,nginx/nginx,
code.flickr.com,192.0.79.32,tcp,443,https,nginx/nginx,
code.flickr.com,192.0.79.33,tcp,80,http,nginx/nginx,
code.flickr.com,192.0.79.33,tcp,443,http,nginx/nginx,
code.flickr.com,192.0.79.33,tcp,443,https,nginx/nginx,
help.flickr.com,52.222.227.10,tcp,80,http,amazon/cloudfront,
help.flickr.com,52.222.227.10,tcp,443,http,amazon/cloudfront,
help.flickr.com,52.222.227.94,tcp,80,http,amazon/cloudfront,
help.flickr.com,52.222.227.94,tcp,443,http,amazon/cloudfront,
help.flickr.com,52.222.227.110,tcp,80,http,amazon/cloudfront,
help.flickr.com,52.222.227.110,tcp,443,http,amazon/cloudfront,
help.flickr.com,52.222.227.117,tcp,80,http,amazon/cloudfront,
help.flickr.com,52.222.227.117,tcp,443,http,amazon/cloudfront,
help.flickr.com,2600:9000:2047:9a00:11:a1bd:89c0:93a1,tcp,80,http,amazon/cloudfront,
help.flickr.com,2600:9000:2047:9a00:11:a1bd:89c0:93a1,tcp,443,http,amazon/cloudfront,
help.flickr.com,2600:9000:2047:400:11:a1bd:89c0:93a1,tcp,80,http,amazon/cloudfront,
help.flickr.com,2600:9000:2047:400:11:a1bd:89c0:93a1,tcp,443,http,amazon/cloudfront,
help.flickr.com,2600:9000:2047:4400:11:a1bd:89c0:93a1,tcp,80,http,amazon/cloudfront,
help.flickr.com,2600:9000:2047:4400:11:a1bd:89c0:93a1,tcp,443,http,amazon/cloudfront,
help.flickr.com,2600:9000:2047:ce00:11:a1bd:89c0:93a1,tcp,80,http,amazon/cloudfront,
help.flickr.com,2600:9000:2047:ce00:11:a1bd:89c0:93a1,tcp,443,http,amazon/cloudfront,
help.flickr.com,2600:9000:2047:d000:11:a1bd:89c0:93a1,tcp,80,http,amazon/cloudfront,
help.flickr.com,2600:9000:2047:d000:11:a1bd:89c0:93a1,tcp,443,http,amazon/cloudfront,
help.flickr.com,2600:9000:2047:d200:11:a1bd:89c0:93a1,tcp,80,http,amazon/cloudfront,
help.flickr.com,2600:9000:2047:d200:11:a1bd:89c0:93a1,tcp,443,http,amazon/cloudfront,
help.flickr.com,2600:9000:2047:da00:11:a1bd:89c0:93a1,tcp,80,http,amazon/cloudfront,
help.flickr.com,2600:9000:2047:da00:11:a1bd:89c0:93a1,tcp,443,http,amazon/cloudfront,
help.flickr.com,2600:9000:2047:f200:11:a1bd:89c0:93a1,tcp,80,http,amazon/cloudfront,
help.flickr.com,2600:9000:2047:f200:11:a1bd:89c0:93a1,tcp,443,http,amazon/cloudfront,
