Chain,Depth,Type,Name
1,0,DNS,*.yahoo.com
1,0,DNS,flic.kr
1,0,DNS,flickr.com
1,0,DNS,ymail.com
1,0,DNS,s.yimg.com
1,0,DNS,*.fantasysports.yahoo.com
1,0,DNS,*.answers.yahoo.com
1,0,DNS,*.calendar.yahoo.com
1,0,DNS,*.flickr.com
1,0,DNS,*.groups.yahoo.com
1,0,DNS,*.mail.yahoo.com
1,0,DNS,*.msg.yahoo.com
1,0,DNS,*.ymail.com
1,0,DNS,*.finance.yahoo.com
1,0,DNS,*.news.yahoo.com
1,0,DNS,*.video.yahoo.com
1,0,DNS,*.m.yahoo.com
1,0,DNS,*.my.yahoo.com
1,0,DNS,*.search.yahoo.com
1,0,DNS,*.secure.yahoo.com
1,0,DNS,*.yahooapis.com
1,0,DNS,*.mg.mail.yahoo.com
1,0,DNS,*.api.fantasysports.yahoo.com
1,0,DNS,*.autos.yahoo.com
1,0,DNS,*.cricket.yahoo.com
1,0,DNS,*.football.fantasysports.yahoo.com
1,0,DNS,*.games.yahoo.com
1,0,DNS,*.lifestyle.yahoo.com
1,0,DNS,*.movies.yahoo.com
1,0,DNS,*.mujer.yahoo.com
1,0,DNS,*.music.yahoo.com
1,0,DNS,*.safely.yahoo.com
1,0,DNS,*.screen.yahoo.com
1,0,DNS,*.shine.yahoo.com
1,0,DNS,*.sports.yahoo.com
1,0,DNS,*.travel.yahoo.com
1,0,DNS,*.tv.yahoo.com
1,0,DNS,*.wc.fantasysports.yahoo.com
1,0,DNS,*.weather.yahoo.com
1,0,DNS,*.notepad.yahoo.com
1,0,DNS,*.protrade.com
1,0,DNS,*.yql.yahoo.com
1,0,DNS,*.staticflickr.com
1,0,DNS,*.wc.yahoodns.net
1,0,DNS,*.deals.yahoo.com
1,0,DNS,*.help.yahoo.com
1,0,DNS,*.celebrity.yahoo.com
1,0,DNS,*.auctions.yahoo.com
1,0,DNS,*.ybp.yahoo.com
1,0,DNS,*.geo.yahoo.com
1,0,DNS,*.messenger.yahoo.com
1,0,DNS,*.antispam.yahoo.com
1,0,DNS,*.ysm.yahoo.com
1,0,DNS,video.media.yql.yahoo.com
1,0,DNS,www.tumblr.com
1,0,DNS,tumblr.com
1,0,DNS,api.tumblr.com
1,0,DNS,*.global-pop.tumblr.com
1,0,DNS,*.tripod.yahoo.com
1,0,DNS,*.iris.yahoo.com
1,0,DNS,*.mobile.yahoo.com
1,0,DNS,*.overview.mail.yahoo.com
1,0,DNS,*.mailplus.mail.yahoo.com
1,0,DNS,tearsheet.ads.yahoo.com
1,0,DNS,investinyourself.yahoo.com.sg
1,0,DNS,sg.featured.yahoo.com
1,0,DNS,hk.featured.yahoo.com
1,0,DNS,sg.feature.yahoo.com
1,0,DNS,in.feature.yahoo.com
1,0,DNS,*.xobni.yahoo.com
1,0,DNS,onepush.query.yahoo.com
1,0,DNS,api-onepush.query.yahoo.com
1,0,DNS,api.digitalhomeservices.yahoo.com
1,0,DNS,commsdata.api.yahoo.com
1,0,DNS,id.featured.yahoo.com
1,0,DNS,gallery.tv.widgets.yahoo.com
2,0,DNS,guce.oath.com
2,0,DNS,guce.yahoo.com
2,0,DNS,guce.aol.com
2,0,DNS,guce.engadget.com
2,0,DNS,guce.autoblog.com
2,0,DNS,guce.moviefone.com
2,0,DNS,guce.techcrunch.com
2,0,DNS,guce.mapquest.com
2,0,DNS,guce.netscape.com
2,0,DNS,guce.tumblr.com
2,0,DNS,guce.yahoo.net
2,0,DNS,guce.compuserve.com
2,0,DNS,guce.login.yahoo.com
2,0,DNS,guce.login.aol.com
2,0,DNS,guce.login.engadget.com
2,0,DNS,guce.login.moviefone.com
2,0,DNS,guce.login.techcrunch.com
2,0,DNS,guce.login.mapquest.com
2,0,DNS,guce.huffingtonpost.com
2,0,DNS,guce.makers.com
2,0,DNS,guce.anyprice.com
2,0,DNS,guce.autos24-7.com
2,0,DNS,guce.buildseries.com
2,0,DNS,guce.builtbygirls.com
2,0,DNS,guce.citypedia.com
2,0,DNS,guce.chowist.com
2,0,DNS,guce.convertro.com
2,0,DNS,guce.couponbear.com
2,0,DNS,guce.dailyfinance.com
2,0,DNS,guce.diylife.com
2,0,DNS,guce.fearuswomen.com
2,0,DNS,guce.glamorbank.com
2,0,DNS,guce.going.com
2,0,DNS,guce.greendaily.com
2,0,DNS,guce.health.zone
2,0,DNS,guce.health247.com
2,0,DNS,guce.homesessive.com
2,0,DNS,guce.housingwatch.com
2,0,DNS,guce.insurance24-7.com
2,0,DNS,guce.job-sift.com
2,0,DNS,guce.jsyk.com
2,0,DNS,guce.kitchepedia.com
2,0,DNS,guce.know-legal.com
2,0,DNS,guce.leaguetv.com
2,0,DNS,guce.learn-247.com
2,0,DNS,guce.luxist.com
2,0,DNS,guce.money-a2z.com
2,0,DNS,guce.netdeals.com
2,0,DNS,guce.shopfone.com
2,0,DNS,guce.sport-king.com
2,0,DNS,guce.when.com
2,0,DNS,guce.wow.com
2,0,DNS,guce.fashion.life
2,0,DNS,guce.fast.rentals
2,0,DNS,guce.gamer.site
2,0,DNS,guce.autos.parts
2,0,DNS,guce.viral.site
2,0,DNS,guce.baby.guide
2,0,DNS,guce.24-7.pet
2,0,DNS,guce.247.vacations
2,0,DNS,guce.aol.co.uk
2,0,DNS,guce.aol.ca
2,0,DNS,guce.aol.de
2,0,DNS,guce.aol.fr
2,0,DNS,guce.aol.jp
2,0,DNS,guce.advertising.com
2,0,DNS,guce.aolcdn.com
2,0,DNS,guce.aollistens.com
2,0,DNS,guce.aolsearch.com
2,0,DNS,guce.autoblog360.com
2,0,DNS,guce.cambio.com
2,0,DNS,guce.enow.com
2,0,DNS,guce.find.furniture
2,0,DNS,guce.flickr.com
2,0,DNS,guce.foodbegood.com
2,0,DNS,guce.furniture.deals
2,0,DNS,guce.getnetscape.com
2,0,DNS,guce.golocal.guru
2,0,DNS,guce.huffingtonpost.ca
2,0,DNS,guce.huffpostarabi.com
2,0,DNS,guce.huffpostbrasil.com
2,0,DNS,guce.huffpostmaghreb.com
2,0,DNS,guce.intoautos.com
2,0,DNS,guce.mydaily.com
2,0,DNS,guce.netfind.com
2,0,DNS,guce.oneadserver.aol.com
2,0,DNS,guce.onebyaol.com
2,0,DNS,guce.pets.world
2,0,DNS,guce.polyvore.com
2,0,DNS,guce.rivals.com
2,0,DNS,guce.ryotlab.com
2,0,DNS,guce.ryot.org
2,0,DNS,guce.ryotstudio.co.uk
2,0,DNS,guce.see-it.live
2,0,DNS,guce.stylemepretty.com
2,0,DNS,guce.tech247.co
2,0,DNS,guce.tech24.deals
2,0,DNS,guce.thegifts.co
2,0,DNS,guce.think24-7.com
3,0,DNS,*.wordpress.com
3,0,DNS,wordpress.com
4,0,DNS,trunk.guce.oath.com
4,0,DNS,trunk.guce.yahoo.com
4,0,DNS,trunk.guce.aol.com
4,0,DNS,trunk.guce.engadget.com
4,0,DNS,trunk.guce.autoblog.com
4,0,DNS,trunk.guce.moviefone.com
4,0,DNS,trunk.guce.techcrunch.com
4,0,DNS,trunk.guce.mapquest.com
4,0,DNS,trunk.guce.netscape.com
4,0,DNS,trunk.guce.tumblr.com
4,0,DNS,trunk.guce.yahoo.net
4,0,DNS,trunk.guce.compuserve.com
4,0,DNS,trunk.guce.login.yahoo.com
4,0,DNS,trunk.guce.login.aol.com
4,0,DNS,trunk.guce.login.engadget.com
4,0,DNS,trunk.guce.login.moviefone.com
4,0,DNS,trunk.guce.login.techcrunch.com
4,0,DNS,trunk.guce.login.mapquest.com
4,0,DNS,trunk.guce.huffingtonpost.com
4,0,DNS,trunk.guce.makers.com
4,0,DNS,trunk.guce.anyprice.com
4,0,DNS,trunk.guce.autos24-7.com
4,0,DNS,trunk.guce.buildseries.com
