Host,Address,Transport,Port,Service
appletv.flickr.com,34.193.243.4,tcp,80,http
appletv.flickr.com,34.193.243.4,tcp,443,http
appletv.flickr.com,34.193.243.4,tcp,443,https
appletv.flickr.com,34.225.235.78,tcp,80,http
appletv.flickr.com,34.225.235.78,tcp,443,http
appletv.flickr.com,34.225.235.78,tcp,443,https
appletv.flickr.com,52.203.66.54,tcp,80,http
appletv.flickr.com,52.203.66.54,tcp,443,http
appletv.flickr.com,52.203.66.54,tcp,443,https
appletv.flickr.com,54.152.199.152,tcp,80,http
appletv.flickr.com,54.152.199.152,tcp,443,http
appletv.flickr.com,54.152.199.152,tcp,443,https
blog.flickr.com,192.0.79.32,tcp,80,http
blog.flickr.com,192.0.79.32,tcp,443,http
blog.flickr.com,192.0.79.32,tcp,443,https
blog.flickr.com,192.0.79.33,tcp,80,http
blog.flickr.com,192.0.79.33,tcp,443,http
blog.flickr.com,192.0.79.33,tcp,443,https
bluebird.flickr.com,87.248.114.11,tcp,80,http
bluebird.flickr.com,87.248.114.11,tcp,443,https
bluebird.flickr.com,87.248.114.12,tcp,80,http
bluebird.flickr.com,87.248.114.12,tcp,443,https
bluebird.flickr.com,87.248.116.11,tcp,80,http
bluebird.flickr.com,87.248.116.11,tcp,443,https
bluebird.flickr.com,87.248.116.12,tcp,80,http
bluebird.flickr.com,87.248.116.12,tcp,443,https
code.flickr.com,192.0.79.32,tcp,80,http
code.flickr.com,192.0.79.32,tcp,443,http
code.flickr.com,192.0.79.32,tcp,443,https
code.flickr.com,192.0.79.33,tcp,80,http
code.flickr.com,192.0.79.33,tcp,443,http
code.flickr.com,192.0.79.33,tcp,443,https
csp.flickr.com,188.125.94.204,tcp,80,http
csp.flickr.com,188.125.94.204,tcp,443,https
csp.flickr.com,188.125.94.206,tcp,80,http
csp.flickr.com,188.125.94.206,tcp,443,https
guce.flickr.com,52.209.39.166,tcp,443,https
guce.flickr.com,54.154.232.108,tcp,443,https
guce.flickr.com,99.80.118.183,tcp,443,https
help.flickr.com,13.33.23.24,tcp,80,http
help.flickr.com,13.33.23.24,tcp,443,http
help.flickr.com,13.33.23.24,tcp,443,https
help.flickr.com,13.33.23.88,tcp,80,http
help.flickr.com,13.33.23.88,tcp,443,http
help.flickr.com,13.33.23.88,tcp,443,https
help.flickr.com,13.33.23.138,tcp,80,http
help.flickr.com,13.33.23.138,tcp,443,http
help.flickr.com,13.33.23.138,tcp,443,https
help.flickr.com,13.33.23.243,tcp,80,http
help.flickr.com,13.33.23.243,tcp,443,http
help.flickr.com,13.33.23.243,tcp,443,https
parkorbird.flickr.com,87.248.114.11,tcp,80,http
parkorbird.flickr.com,87.248.114.11,tcp,443,https
parkorbird.flickr.com,87.248.114.12,tcp,80,http
parkorbird.flickr.com,87.248.114.12,tcp,443,https
parkorbird.flickr.com,87.248.116.11,tcp,80,http
parkorbird.flickr.com,87.248.116.11,tcp,443,https
parkorbird.flickr.com,87.248.116.12,tcp,80,http
parkorbird.flickr.com,87.248.116.12,tcp,443,https
stage.guce.flickr.com,52.41.9.238,tcp,443,https
stage.guce.flickr.com,52.42.69.231,tcp,443,https
trunk.guce.flickr.com,34.214.35.42,tcp,443,https
trunk.guce.flickr.com,52.43.39.36,tcp,443,https
