Host,Address,Transport,Port,Service,Component,Version
admin-panel.grammarly.com,3.85.254.52,tcp,80,http,nginx/nginx,1.14.2
admin-panel.grammarly.com,3.85.254.52,tcp,443,http,amazon/awselb,2.0
admin-panel.grammarly.com,3.85.254.52,tcp,443,https,nginx/nginx,1.14.2
admin-panel.grammarly.com,52.44.48.210,tcp,80,http,nginx/nginx,1.14.2
admin-panel.grammarly.com,52.44.48.210,tcp,443,http,amazon/awselb,2.0
admin-panel.grammarly.com,52.44.48.210,tcp,443,https,nginx/nginx,1.14.2
app.grammarly.com,34.234.127.26,tcp,80,http,nginx/nginx,1.12.0
app.grammarly.com,34.234.127.26,tcp,443,http,amazon/awselb,2.0
app.grammarly.com,34.234.127.26,tcp,443,https,nginx/nginx,1.12.0
app.grammarly.com,52.203.116.168,tcp,80,http,nginx/nginx,1.12.0
app.grammarly.com,52.203.116.168,tcp,443,http,amazon/awselb,2.0
app.grammarly.com,52.203.116.168,tcp,443,https,nginx/nginx,1.12.0
app.grammarly.com,54.165.71.197,tcp,80,http,nginx/nginx,1.12.0
app.grammarly.com,54.165.71.197,tcp,443,http,amazon/awselb,2.0
app.grammarly.com,54.165.71.197,tcp,443,https,nginx/nginx,1.12.0
auth.grammarly.com,18.214.210.59,tcp,443,http,amazon/awselb,2.0
auth.grammarly.com,35.153.94.200,tcp,443,http,amazon/awselb,2.0
auth.grammarly.com,52.6.10.250,tcp,443,http,amazon/awselb,2.0
capi.grammarly.com,3.213.229.85,tcp,443,http,amazon/awselb,2.0
capi.grammarly.com,3.214.42.239,tcp,443,http,amazon/awselb,2.0
capi.grammarly.com,18.211.120.78,tcp,443,http,amazon/awselb,2.0
capi.grammarly.com,34.194.112.21,tcp,443,http,amazon/awselb,2.0
capi.grammarly.com,34.197.144.185,tcp,443,http,amazon/awselb,2.0
capi.grammarly.com,52.2.17.153,tcp,443,http,amazon/awselb,2.0
capi.grammarly.com,54.236.191.53,tcp,443,http,amazon/awselb,2.0
capi.grammarly.com,54.236.208.245,tcp,443,http,amazon/awselb,2.0
data.grammarly.com,34.197.114.198,tcp,443,http,amazon/awselb,2.0
data.grammarly.com,35.172.187.64,tcp,443,http,amazon/awselb,2.0
data.grammarly.com,54.175.110.26,tcp,443,http,amazon/awselb,2.0
datareport.grammarly.com,54.80.98.143,tcp,443,http,amazon/awselb,2.0
datareport.grammarly.com,54.236.93.117,tcp,443,http,amazon/awselb,2.0
dox.grammarly.com,52.2.254.21,tcp,443,http,amazon/awselb,2.0
