Host,Address,Transport,Port,Service
admin-panel.grammarly.com,34.233.143.201,tcp,80,http
admin-panel.grammarly.com,34.233.143.201,tcp,443,http
admin-panel.grammarly.com,34.233.143.201,tcp,443,https
admin-panel.grammarly.com,54.146.139.182,tcp,80,http
admin-panel.grammarly.com,54.146.139.182,tcp,443,http
admin-panel.grammarly.com,54.146.139.182,tcp,443,https
app.grammarly.com,34.234.127.26,tcp,80,http
app.grammarly.com,34.234.127.26,tcp,443,http
app.grammarly.com,34.234.127.26,tcp,443,https
app.grammarly.com,52.203.116.168,tcp,80,http
app.grammarly.com,52.203.116.168,tcp,443,http
app.grammarly.com,52.203.116.168,tcp,443,https
app.grammarly.com,54.165.71.197,tcp,80,http
app.grammarly.com,54.165.71.197,tcp,443,http
app.grammarly.com,54.165.71.197,tcp,443,https
auth.grammarly.com,18.214.210.59,tcp,443,http
auth.grammarly.com,18.214.210.59,tcp,443,https
auth.grammarly.com,35.153.94.200,tcp,443,http
auth.grammarly.com,35.153.94.200,tcp,443,https
auth.grammarly.com,52.6.10.250,tcp,443,http
auth.grammarly.com,52.6.10.250,tcp,443,https
capi.grammarly.com,52.3.176.75,tcp,443,http
capi.grammarly.com,52.3.176.75,tcp,443,https
capi.grammarly.com,52.21.173.96,tcp,443,http
capi.grammarly.com,52.21.173.96,tcp,443,https
capi.grammarly.com,52.22.139.176,tcp,443,http
capi.grammarly.com,52.22.139.176,tcp,443,https
capi.grammarly.com,52.44.24.158,tcp,443,http
capi.grammarly.com,52.44.24.158,tcp,443,https
capi.grammarly.com,52.54.27.91,tcp,443,http
capi.grammarly.com,52.54.27.91,tcp,443,https
capi.grammarly.com,52.200.138.134,tcp,443,http
capi.grammarly.com,52.200.138.134,tcp,443,https
capi.grammarly.com,54.158.74.41,tcp,443,http
capi.grammarly.com,54.158.74.41,tcp,443,https
capi.grammarly.com,54.236.191.53,tcp,443,http
capi.grammarly.com,54.236.191.53,tcp,443,https
data.grammarly.com,34.197.114.198,tcp,443,http
data.grammarly.com,34.197.114.198,tcp,443,https
data.grammarly.com,35.172.187.64,tcp,443,http
data.grammarly.com,35.172.187.64,tcp,443,https
data.grammarly.com,54.175.110.26,tcp,443,http
data.grammarly.com,54.175.110.26,tcp,443,https
datareport.grammarly.com,54.80.98.143,tcp,443,http
datareport.grammarly.com,54.80.98.143,tcp,443,https
datareport.grammarly.com,54.236.93.117,tcp,443,http
datareport.grammarly.com,54.236.93.117,tcp,443,https
dox.grammarly.com,34.206.179.59,tcp,443,http
dox.grammarly.com,34.206.179.59,tcp,443,https
dox.grammarly.com,54.82.236.87,tcp,443,http
dox.grammarly.com,54.82.236.87,tcp,443,https
dox.grammarly.com,54.173.144.53,tcp,443,http
dox.grammarly.com,54.173.144.53,tcp,443,https
food.grammarly.io,34.234.2.210,tcp,80,http
food.grammarly.io,34.234.2.210,tcp,443,http
food.grammarly.io,34.234.2.210,tcp,443,https
food.grammarly.io,34.239.99.24,tcp,80,http
food.grammarly.io,34.239.99.24,tcp,443,http
food.grammarly.io,34.239.99.24,tcp,443,https
food.grammarly.io,52.4.44.164,tcp,80,http
food.grammarly.io,52.4.44.164,tcp,443,http
food.grammarly.io,52.4.44.164,tcp,443,https
gnar.grammarly.com,34.193.254.51,tcp,443,http
gnar.grammarly.com,34.193.254.51,tcp,443,https
gnar.grammarly.com,52.55.208.245,tcp,443,http
gnar.grammarly.com,52.55.208.245,tcp,443,https
gnar.grammarly.com,54.208.73.164,tcp,443,http
gnar.grammarly.com,54.208.73.164,tcp,443,https
grammarly.ai,54.160.135.211,tcp,80,http
grammarly.ai,54.160.135.211,tcp,443,http
grammarly.ai,54.160.135.211,tcp,443,https
grammarly.net,52.206.160.92,tcp,80,http
grammarly.net,52.206.160.92,tcp,443,http
grammarly.net,52.206.160.92,tcp,443,https
grammarly.net,54.87.179.5,tcp,80,http
grammarly.net,54.87.179.5,tcp,443,http
grammarly.net,54.87.179.5,tcp,443,https
grammarly.net,54.210.203.245,tcp,80,http
grammarly.net,54.210.203.245,tcp,443,http
grammarly.net,54.210.203.245,tcp,443,https
institution.grammarly.com,34.234.241.113,tcp,443,http
institution.grammarly.com,34.234.241.113,tcp,443,https
institution.grammarly.com,52.206.144.40,tcp,443,http
institution.grammarly.com,52.206.144.40,tcp,443,https
irbis.grammarly.com,34.194.11.127,tcp,443,http
irbis.grammarly.com,34.194.11.127,tcp,443,https
irbis.grammarly.com,52.206.49.88,tcp,443,http
irbis.grammarly.com,52.206.49.88,tcp,443,https
irbis.grammarly.com,54.209.190.196,tcp,443,http
irbis.grammarly.com,54.209.190.196,tcp,443,https
proofit.com,52.216.64.74,tcp,80,http
subscription.grammarly.com,52.55.112.251,tcp,80,http
subscription.grammarly.com,52.55.112.251,tcp,443,http
subscription.grammarly.com,52.55.112.251,tcp,443,https
subscription.grammarly.com,52.72.7.128,tcp,80,http
subscription.grammarly.com,52.72.7.128,tcp,443,http
subscription.grammarly.com,52.72.7.128,tcp,443,https
subscription.grammarly.com,52.202.250.149,tcp,80,http
