Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
api.hackerone.com,104.16.99.52,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5308693/C=US/ST=California/L=San Francisco/O=HackerOne, Inc./OU=Operations/CN=hackerone.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Nov 23 00:00:00 2017 GMT","Feb 21 12:00:00 2020 GMT"
api.hackerone.com,104.16.99.52,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
api.hackerone.com,104.16.99.52,tcp,8443,unknown,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5308693/C=US/ST=California/L=San Francisco/O=HackerOne, Inc./OU=Operations/CN=hackerone.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Nov 23 00:00:00 2017 GMT","Feb 21 12:00:00 2020 GMT"
api.hackerone.com,104.16.99.52,tcp,8443,unknown,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
api.hackerone.com,104.16.100.52,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5308693/C=US/ST=California/L=San Francisco/O=HackerOne, Inc./OU=Operations/CN=hackerone.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Nov 23 00:00:00 2017 GMT","Feb 21 12:00:00 2020 GMT"
api.hackerone.com,104.16.100.52,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
api.hackerone.com,104.16.100.52,tcp,8443,unknown,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5308693/C=US/ST=California/L=San Francisco/O=HackerOne, Inc./OU=Operations/CN=hackerone.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Nov 23 00:00:00 2017 GMT","Feb 21 12:00:00 2020 GMT"
api.hackerone.com,104.16.100.52,tcp,8443,unknown,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
ctf.hacker101.com,104.18.192.12,tcp,443,https,0,"/OU=Domain Control Validated/OU=PositiveSSL Multi-Domain/CN=ssl922861.cloudflaressl.com","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","Sep 10 00:00:00 2018 GMT","Jul 17 23:59:59 2019 GMT"
ctf.hacker101.com,104.18.192.12,tcp,443,https,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority","Sep 25 00:00:00 2014 GMT","Sep 24 23:59:59 2029 GMT"
