Chain,Depth,Subject,Issuer,Not Valid Before,Not Valid After,# of SANs
4,0,/C=US/ST=Washington/L=Seattle/O=Amazon.com Inc./CN=*.s3-us-west-2.amazonaws.com,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Baltimore CA-2 G2,Nov  8 00:00:00 2018 GMT,Nov  6 12:00:00 2019 GMT,11
4,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Baltimore CA-2 G2,/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root,Dec  8 12:05:07 2015 GMT,May 10 12:00:00 2025 GMT,0
5,0,/OU=Domain Control Validated/OU=PositiveSSL Multi-Domain/CN=ssl422016.cloudflaressl.com,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2,Apr  1 00:00:00 2019 GMT,Oct  8 23:59:59 2019 GMT,3
5,1,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority,Sep 25 00:00:00 2014 GMT,Sep 24 23:59:59 2029 GMT,0
5,2,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority,/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root,May 30 10:48:38 2000 GMT,May 30 10:48:38 2020 GMT,0
6,0,/OU=Domain Control Validated/OU=PositiveSSL Multi-Domain/CN=ssl922861.cloudflaressl.com,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2,Sep 10 00:00:00 2018 GMT,Jul 17 23:59:59 2019 GMT,3
6,1,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority,Sep 25 00:00:00 2014 GMT,Sep 24 23:59:59 2029 GMT,0
6,2,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority,/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root,May 30 10:48:38 2000 GMT,May 30 10:48:38 2020 GMT,0
1,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5308693/C=US/ST=California/L=San Francisco/O=HackerOne, Inc./OU=Operations/CN=hackerone.com",/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,Nov 23 00:00:00 2017 GMT,Feb 21 12:00:00 2020 GMT,3
1,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
3,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5308693/C=US/ST=California/L=San Francisco/O=HackerOne, Inc./OU=Operations/CN=errors.hackerone.net",/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,Jan  3 00:00:00 2019 GMT,Jan 21 12:00:00 2021 GMT,1
3,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
2,0,/OU=Domain Control Validated/OU=PositiveSSL Multi-Domain/CN=ssl729899.cloudflaressl.com,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2,Mar 13 00:00:00 2019 GMT,Sep 19 23:59:59 2019 GMT,3
2,1,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority,Sep 25 00:00:00 2014 GMT,Sep 24 23:59:59 2029 GMT,0
2,2,/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority,/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root,May 30 10:48:38 2000 GMT,May 30 10:48:38 2020 GMT,0
