Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
assets.hyatt.com,184.50.167.167,tcp,443,https,0,"/C=US/ST=Illinois/L=Chicago/O=Hyatt Hotels Corporation/CN=allinclusive.hyatt.com","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2012 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1K","Jan 15 19:15:10 2019 GMT","Jan 15 19:45:09 2020 GMT"
assets.hyatt.com,184.50.167.167,tcp,443,https,1,"/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2012 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1K","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2009 Entrust, Inc. - for authorized use only/CN=Entrust Root Certification Authority - G2","Oct  5 19:13:56 2015 GMT","Dec  5 19:43:56 2030 GMT"
assets.hyatt.com,184.50.167.167,tcp,443,https,2,"/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2009 Entrust, Inc. - for authorized use only/CN=Entrust Root Certification Authority - G2","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2009 Entrust, Inc. - for authorized use only/CN=Entrust Root Certification Authority - G2","Jul  7 17:25:54 2009 GMT","Dec  7 17:55:54 2030 GMT"
hyatt.com,140.95.207.100,tcp,443,https,0,"/C=US/ST=Illinois/L=Chicago/O=Hyatt Hotels Corporation/OU=Hyatt IT/CN=hyatt.com","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2012 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1K","Mar  7 16:30:59 2019 GMT","Mar 12 17:00:58 2020 GMT"
hyatt.com,140.95.207.100,tcp,443,https,1,"/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2012 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1K","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2009 Entrust, Inc. - for authorized use only/CN=Entrust Root Certification Authority - G2","Oct  5 19:13:56 2015 GMT","Dec  5 19:43:56 2030 GMT"
hyatt.com,140.95.207.100,tcp,443,https,2,"/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2009 Entrust, Inc. - for authorized use only/CN=Entrust Root Certification Authority - G2","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2009 Entrust, Inc. - for authorized use only/CN=Entrust Root Certification Authority - G2","Jul  7 17:25:54 2009 GMT","Dec  7 17:55:54 2030 GMT"
world.hyatt.com,23.34.185.152,tcp,443,https,0,"/C=US/ST=Illinois/L=Chicago/jurisdictionC=US/jurisdictionST=Delaware/O=Hyatt Corporation/businessCategory=Private Organization/OU=Hyatt e-Commerce/serialNumber=659527/CN=www.hyatt.com","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2014 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1M","May  1 18:12:23 2019 GMT","May  1 18:42:20 2021 GMT"
world.hyatt.com,23.34.185.152,tcp,443,https,1,"/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2014 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1M","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2009 Entrust, Inc. - for authorized use only/CN=Entrust Root Certification Authority - G2","Dec 15 15:25:03 2014 GMT","Oct 15 15:55:03 2030 GMT"
www.hyatt.com,23.34.185.152,tcp,443,https,0,"/C=US/ST=Illinois/L=Chicago/jurisdictionC=US/jurisdictionST=Delaware/O=Hyatt Corporation/businessCategory=Private Organization/OU=Hyatt e-Commerce/serialNumber=659527/CN=www.hyatt.com","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2014 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1M","May  1 18:12:23 2019 GMT","May  1 18:42:20 2021 GMT"
www.hyatt.com,23.34.185.152,tcp,443,https,1,"/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2014 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1M","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2009 Entrust, Inc. - for authorized use only/CN=Entrust Root Certification Authority - G2","Dec 15 15:25:03 2014 GMT","Oct 15 15:55:03 2030 GMT"
