Chain,Depth,Type,Name
1,0,DNS,www.hyatt.com
1,0,DNS,hyatt.com
1,0,DNS,world.hyatt.com
1,0,DNS,meetings.hyatt.com
1,0,DNS,help.hyatt.com
1,0,DNS,about.hyatt.com
2,0,DNS,hyatt.com
2,0,DNS,*.hyatt.com
2,0,DNS,*.goldpassport.com
2,0,DNS,*.prod.hyatt.com
2,0,DNS,prod.hyatt.com
2,0,DNS,goldpassport.com
3,0,DNS,allinclusive.hyatt.com
3,0,DNS,ziva.hyatt.com
3,0,DNS,zilara.hyatt.com
3,0,DNS,www.newsroom.images.hyatt.com
3,0,DNS,www.hhcimg.com
3,0,DNS,unboundcollection.hyatt.com
3,0,DNS,regency.hyatt.com
3,0,DNS,place.hyatt.com
3,0,DNS,newsroom.images.hyatt.com
3,0,DNS,newsroom.hyatt.com
3,0,DNS,hyatthotels.hyatt.com
3,0,DNS,house.hyatt.com
3,0,DNS,grand.hyatt.com
3,0,DNS,centric.hyatt.com
3,0,DNS,assets.hyatt.com
3,0,DNS,andaz.hyatt.com
