Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
innogames.com,151.101.2.217,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Fastly, Inc./CN=s2.shared.global.fastly.net","/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","May  8 10:15:30 2019 GMT","Feb 16 16:35:40 2020 GMT"
innogames.com,151.101.2.217,tcp,443,https,1,"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","/C=BE/O=GlobalSign nv-sa/OU=Root CA/CN=GlobalSign Root CA","Aug 19 00:00:00 2015 GMT","Aug 19 00:00:00 2025 GMT"
innogames.com,151.101.66.217,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Fastly, Inc./CN=s2.shared.global.fastly.net","/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","May  8 10:15:30 2019 GMT","Feb 16 16:35:40 2020 GMT"
innogames.com,151.101.66.217,tcp,443,https,1,"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","/C=BE/O=GlobalSign nv-sa/OU=Root CA/CN=GlobalSign Root CA","Aug 19 00:00:00 2015 GMT","Aug 19 00:00:00 2025 GMT"
innogames.com,151.101.130.217,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Fastly, Inc./CN=s2.shared.global.fastly.net","/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","May  8 10:15:30 2019 GMT","Feb 16 16:35:40 2020 GMT"
innogames.com,151.101.130.217,tcp,443,https,1,"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","/C=BE/O=GlobalSign nv-sa/OU=Root CA/CN=GlobalSign Root CA","Aug 19 00:00:00 2015 GMT","Aug 19 00:00:00 2025 GMT"
innogames.com,151.101.194.217,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Fastly, Inc./CN=s2.shared.global.fastly.net","/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","May  8 10:15:30 2019 GMT","Feb 16 16:35:40 2020 GMT"
innogames.com,151.101.194.217,tcp,443,https,1,"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","/C=BE/O=GlobalSign nv-sa/OU=Root CA/CN=GlobalSign Root CA","Aug 19 00:00:00 2015 GMT","Aug 19 00:00:00 2025 GMT"
innogames.de,2a00:1f78:fffd:100::cb,tcp,443,https,0,"/OU=Domain Control Validated/OU=PositiveSSL Wildcard/CN=*.innogames.de","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","Oct  2 00:00:00 2018 GMT","Nov  1 23:59:59 2019 GMT"
innogames.de,2a00:1f78:fffd:100::cb,tcp,443,https,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","Feb 12 00:00:00 2014 GMT","Feb 11 23:59:59 2029 GMT"
innogames.de,2a00:1f78:fffd:100::cb,tcp,443,https,2,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
innogames.de,2a00:1f78:fffd:100::cb,tcp,443,https,3,"/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
innogames.de,212.53.143.203,tcp,443,https,0,"/OU=Domain Control Validated/OU=PositiveSSL Wildcard/CN=*.innogames.de","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","Oct  2 00:00:00 2018 GMT","Nov  1 23:59:59 2019 GMT"
innogames.de,212.53.143.203,tcp,443,https,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","Feb 12 00:00:00 2014 GMT","Feb 11 23:59:59 2029 GMT"
innogames.de,212.53.143.203,tcp,443,https,2,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
innogames.de,212.53.143.203,tcp,443,https,3,"/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
tribalwars.cash,2a00:1f78:fffd:9::d435:ac46,tcp,443,https,0,"/OU=Domain Control Validated/OU=PositiveSSL Wildcard/CN=*.tribalwars.cash","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","Dec 11 00:00:00 2018 GMT","Dec 10 23:59:59 2020 GMT"
