Host,Address,Transport,Port,Service,Component,Version
innogames.de,212.53.143.203,tcp,80,http,nginx/nginx,
innogames.de,212.53.143.203,tcp,443,http,nginx/nginx,
innogames.de,212.53.143.203,tcp,443,https,nginx/nginx,
tribalwars.cash,212.53.172.70,tcp,80,http,nginx/nginx,
tribalwars.cash,212.53.172.70,tcp,443,http,nginx/nginx,
tribalwars.cash,212.53.172.70,tcp,443,https,nginx/nginx,
www.igpayment.com,212.72.174.144,tcp,80,http,nginx/nginx,
www.igpayment.com,212.72.174.144,tcp,443,http,nginx/nginx,
www.igpayment.com,212.72.174.144,tcp,443,https,nginx/nginx,
www.innogames.com,151.101.86.217,tcp,443,https,apache/apache,
www.innogames.com,151.101.86.217,tcp,443,https,php/php,7.1.28
www.innogames.de,212.53.143.203,tcp,80,http,nginx/nginx,
www.innogames.de,212.53.143.203,tcp,443,http,nginx/nginx,
www.innogames.de,212.53.143.203,tcp,443,https,nginx/nginx,
www.tribalwars.cash,212.53.172.70,tcp,80,http,nginx/nginx,
www.tribalwars.cash,212.53.172.70,tcp,443,http,nginx/nginx,
www.tribalwars.cash,212.53.172.70,tcp,443,https,nginx/nginx,
xs.elvenar.com,212.53.139.130,tcp,80,http,nginx/nginx,
xs.elvenar.com,212.53.139.130,tcp,443,http,nginx/nginx,
xs.elvenar.com,212.53.139.130,tcp,443,https,nginx/nginx,
xs.forgeofempires.com,212.53.162.29,tcp,80,http,nginx/nginx,
xs.forgeofempires.com,212.53.162.29,tcp,443,http,nginx/nginx,
xs.forgeofempires.com,212.53.162.29,tcp,443,https,nginx/nginx,
xs.grepolis.com,212.53.163.66,tcp,80,http,nginx/nginx,
xs.grepolis.com,212.53.163.66,tcp,443,http,nginx/nginx,
xs.grepolis.com,212.53.163.66,tcp,443,https,nginx/nginx,
xs0.elvenar.com,212.53.139.127,tcp,80,http,nginx/nginx,
xs0.elvenar.com,212.53.139.127,tcp,443,http,nginx/nginx,
xs0.elvenar.com,212.53.139.127,tcp,443,https,nginx/nginx,
xs0.forgeofempires.com,212.53.162.27,tcp,80,http,nginx/nginx,
xs0.forgeofempires.com,212.53.162.27,tcp,443,http,nginx/nginx,
xs0.forgeofempires.com,212.53.162.27,tcp,443,https,nginx/nginx,
xs0.grepolis.com,212.53.164.45,tcp,80,http,nginx/nginx,
xs0.grepolis.com,212.53.164.45,tcp,443,http,nginx/nginx,
xs0.grepolis.com,212.53.164.45,tcp,443,https,nginx/nginx,
xs1.elvenar.com,212.53.139.128,tcp,80,http,nginx/nginx,
xs1.elvenar.com,212.53.139.128,tcp,443,http,nginx/nginx,
xs1.elvenar.com,212.53.139.128,tcp,443,https,nginx/nginx,
xs1.forgeofempires.com,212.53.162.28,tcp,80,http,nginx/nginx,
xs1.forgeofempires.com,212.53.162.28,tcp,443,http,nginx/nginx,
xs1.forgeofempires.com,212.53.162.28,tcp,443,https,nginx/nginx,
xs1.grepolis.com,212.53.174.31,tcp,80,http,nginx/nginx,
xs1.grepolis.com,212.53.174.31,tcp,443,http,nginx/nginx,
xs1.grepolis.com,212.53.174.31,tcp,443,https,nginx/nginx,
xs1.tribalwars.cash,212.53.172.75,tcp,80,http,nginx/nginx,
xs1.tribalwars.cash,212.53.172.75,tcp,443,http,nginx/nginx,
xs1.tribalwars.cash,212.53.172.75,tcp,443,https,nginx/nginx,
