Host,Address,Transport,Port,Service
innogames.com,151.101.2.217,tcp,80,http
innogames.com,151.101.2.217,tcp,443,https
innogames.com,151.101.66.217,tcp,80,http
innogames.com,151.101.66.217,tcp,443,https
innogames.com,151.101.130.217,tcp,80,http
innogames.com,151.101.130.217,tcp,443,https
innogames.com,151.101.194.217,tcp,80,http
innogames.com,151.101.194.217,tcp,443,https
innogames.de,212.53.143.203,tcp,80,http
innogames.de,212.53.143.203,tcp,443,http
innogames.de,212.53.143.203,tcp,443,https
tribalwars.cash,212.53.172.70,tcp,80,http
tribalwars.cash,212.53.172.70,tcp,443,http
tribalwars.cash,212.53.172.70,tcp,443,https
www.igpayment.com,212.72.174.144,tcp,80,http
www.igpayment.com,212.72.174.144,tcp,443,http
www.igpayment.com,212.72.174.144,tcp,443,https
www.innogames.com,151.101.86.217,tcp,80,http
www.innogames.com,151.101.86.217,tcp,443,https
www.innogames.de,212.53.143.203,tcp,80,http
www.innogames.de,212.53.143.203,tcp,443,http
www.innogames.de,212.53.143.203,tcp,443,https
www.tribalwars.cash,212.53.172.70,tcp,80,http
www.tribalwars.cash,212.53.172.70,tcp,443,http
www.tribalwars.cash,212.53.172.70,tcp,443,https
xs.elvenar.com,212.53.139.130,tcp,80,http
xs.elvenar.com,212.53.139.130,tcp,443,http
xs.elvenar.com,212.53.139.130,tcp,443,https
xs.forgeofempires.com,212.53.162.29,tcp,80,http
xs.forgeofempires.com,212.53.162.29,tcp,443,http
xs.forgeofempires.com,212.53.162.29,tcp,443,https
xs.grepolis.com,212.53.163.66,tcp,80,http
xs.grepolis.com,212.53.163.66,tcp,443,http
xs.grepolis.com,212.53.163.66,tcp,443,https
xs0.elvenar.com,212.53.139.127,tcp,80,http
xs0.elvenar.com,212.53.139.127,tcp,443,http
xs0.elvenar.com,212.53.139.127,tcp,443,https
xs0.forgeofempires.com,212.53.162.27,tcp,80,http
xs0.forgeofempires.com,212.53.162.27,tcp,443,http
xs0.forgeofempires.com,212.53.162.27,tcp,443,https
xs0.grepolis.com,212.53.164.45,tcp,80,http
xs0.grepolis.com,212.53.164.45,tcp,443,http
xs0.grepolis.com,212.53.164.45,tcp,443,https
xs1.elvenar.com,212.53.139.128,tcp,80,http
xs1.elvenar.com,212.53.139.128,tcp,443,http
xs1.elvenar.com,212.53.139.128,tcp,443,https
xs1.forgeofempires.com,212.53.162.28,tcp,80,http
xs1.forgeofempires.com,212.53.162.28,tcp,443,http
xs1.forgeofempires.com,212.53.162.28,tcp,443,https
xs1.grepolis.com,212.53.174.31,tcp,80,http
xs1.grepolis.com,212.53.174.31,tcp,443,http
xs1.grepolis.com,212.53.174.31,tcp,443,https
xs1.tribalwars.cash,212.53.172.75,tcp,80,http
xs1.tribalwars.cash,212.53.172.75,tcp,443,http
xs1.tribalwars.cash,212.53.172.75,tcp,443,https
xs1.tribalwars.cash,212.53.172.75,tcp,8080,unknown
xs1.tribalwars.cash,212.53.172.75,tcp,8081,unknown
