Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
donations.livestream.com,151.101.38.29,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Fastly, Inc./CN=livestream.map.fastly.net","/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","Apr 10 21:27:08 2019 GMT","Oct 27 03:19:40 2019 GMT"
donations.livestream.com,151.101.38.29,tcp,443,https,1,"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","/C=BE/O=GlobalSign nv-sa/OU=Root CA/CN=GlobalSign Root CA","Aug 19 00:00:00 2015 GMT","Aug 19 00:00:00 2025 GMT"
livestream.com,151.101.2.29,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Fastly, Inc./CN=livestream.map.fastly.net","/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","Apr 10 21:27:08 2019 GMT","Oct 27 03:19:40 2019 GMT"
livestream.com,151.101.2.29,tcp,443,https,1,"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","/C=BE/O=GlobalSign nv-sa/OU=Root CA/CN=GlobalSign Root CA","Aug 19 00:00:00 2015 GMT","Aug 19 00:00:00 2025 GMT"
livestream.com,151.101.66.29,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Fastly, Inc./CN=livestream.map.fastly.net","/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","Apr 10 21:27:08 2019 GMT","Oct 27 03:19:40 2019 GMT"
livestream.com,151.101.66.29,tcp,443,https,1,"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","/C=BE/O=GlobalSign nv-sa/OU=Root CA/CN=GlobalSign Root CA","Aug 19 00:00:00 2015 GMT","Aug 19 00:00:00 2025 GMT"
livestream.com,151.101.130.29,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Fastly, Inc./CN=livestream.map.fastly.net","/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","Apr 10 21:27:08 2019 GMT","Oct 27 03:19:40 2019 GMT"
livestream.com,151.101.130.29,tcp,443,https,1,"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","/C=BE/O=GlobalSign nv-sa/OU=Root CA/CN=GlobalSign Root CA","Aug 19 00:00:00 2015 GMT","Aug 19 00:00:00 2025 GMT"
livestream.com,151.101.194.29,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Fastly, Inc./CN=livestream.map.fastly.net","/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","Apr 10 21:27:08 2019 GMT","Oct 27 03:19:40 2019 GMT"
livestream.com,151.101.194.29,tcp,443,https,1,"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign CloudSSL CA - SHA256 - G3","/C=BE/O=GlobalSign nv-sa/OU=Root CA/CN=GlobalSign Root CA","Aug 19 00:00:00 2015 GMT","Aug 19 00:00:00 2025 GMT"
