Host,Address,Transport,Port,Service,Component,Version
new.livestream.com,35.185.71.172,tcp,80,http,nginx/nginx,
new.livestream.com,35.185.71.172,tcp,443,http,nginx/nginx,
new.livestream.com,35.185.71.172,tcp,443,https,nginx/nginx,
new.livestream.com,104.196.201.57,tcp,80,http,nginx/nginx,
new.livestream.com,104.196.201.57,tcp,443,http,nginx/nginx,
new.livestream.com,104.196.201.57,tcp,443,https,nginx/nginx,
www.livestream.com,35.185.71.172,tcp,80,http,nginx/nginx,
www.livestream.com,35.185.71.172,tcp,443,http,nginx/nginx,
www.livestream.com,35.185.71.172,tcp,443,https,nginx/nginx,
www.livestream.com,104.196.201.57,tcp,80,http,nginx/nginx,
www.livestream.com,104.196.201.57,tcp,443,http,nginx/nginx,
www.livestream.com,104.196.201.57,tcp,443,https,nginx/nginx,
