Service ID,Name,Address,Transport,Port,Service,Certificate Chain
1,www.livestream.com,35.185.71.172,tcp,80,http,
2,www.livestream.com,35.185.71.172,tcp,443,http,
3,www.livestream.com,35.185.71.172,tcp,443,https,2
4,www.livestream.com,104.196.201.57,tcp,80,http,
5,www.livestream.com,104.196.201.57,tcp,443,http,
6,www.livestream.com,104.196.201.57,tcp,443,https,2
7,new.livestream.com,35.185.71.172,tcp,80,http,
8,new.livestream.com,35.185.71.172,tcp,443,http,
9,new.livestream.com,35.185.71.172,tcp,443,https,2
10,new.livestream.com,104.196.201.57,tcp,80,http,
11,new.livestream.com,104.196.201.57,tcp,443,http,
12,new.livestream.com,104.196.201.57,tcp,443,https,2
13,livestream.com,151.101.2.29,tcp,80,http,
14,livestream.com,151.101.2.29,tcp,443,https,1
15,livestream.com,151.101.66.29,tcp,80,http,
16,livestream.com,151.101.66.29,tcp,443,https,1
17,livestream.com,151.101.130.29,tcp,80,http,
18,livestream.com,151.101.130.29,tcp,443,https,1
19,livestream.com,151.101.194.29,tcp,80,http,
20,livestream.com,151.101.194.29,tcp,443,https,1
21,donations.livestream.com,151.101.86.29,tcp,80,http,
22,donations.livestream.com,151.101.86.29,tcp,443,https,1
