Host,Address,Transport,Port,Service,Component,Version
account.magento.com,3.91.140.51,tcp,80,http,nginx/nginx,
account.magento.com,3.91.140.51,tcp,443,http,amazon/awselb,2.0
account.magento.com,3.91.140.51,tcp,443,https,nginx/nginx,
account.magento.com,52.72.95.172,tcp,80,http,nginx/nginx,
account.magento.com,52.72.95.172,tcp,443,http,amazon/awselb,2.0
account.magento.com,52.72.95.172,tcp,443,https,nginx/nginx,
account.magento.com,54.175.128.241,tcp,80,http,nginx/nginx,
account.magento.com,54.175.128.241,tcp,443,http,amazon/awselb,2.0
account.magento.com,54.175.128.241,tcp,443,https,nginx/nginx,
account.magento.com,54.210.170.107,tcp,80,http,nginx/nginx,
account.magento.com,54.210.170.107,tcp,443,http,amazon/awselb,2.0
account.magento.com,54.210.170.107,tcp,443,https,nginx/nginx,
imagine.magento.com,52.44.165.90,tcp,80,http,nginx/nginx,
imagine.magento.com,52.44.165.90,tcp,443,http,amazon/awselb,2.0
imagine.magento.com,52.44.165.90,tcp,443,https,drupal/drupal,
imagine.magento.com,52.44.165.90,tcp,443,https,drupal/drupal,7
imagine.magento.com,52.44.165.90,tcp,443,https,nginx/nginx,
imagine.magento.com,52.204.216.53,tcp,80,http,nginx/nginx,
imagine.magento.com,52.204.216.53,tcp,443,http,amazon/awselb,2.0
imagine.magento.com,52.204.216.53,tcp,443,https,drupal/drupal,
imagine.magento.com,52.204.216.53,tcp,443,https,drupal/drupal,7
imagine.magento.com,52.204.216.53,tcp,443,https,nginx/nginx,
magento.com,3.91.140.51,tcp,80,http,nginx/nginx,
magento.com,3.91.140.51,tcp,443,http,amazon/awselb,2.0
magento.com,3.91.140.51,tcp,443,https,drupal/drupal,
magento.com,3.91.140.51,tcp,443,https,drupal/drupal,8
magento.com,3.91.140.51,tcp,443,https,nginx/nginx,
magento.com,52.72.95.172,tcp,80,http,nginx/nginx,
magento.com,52.72.95.172,tcp,443,http,amazon/awselb,2.0
magento.com,52.72.95.172,tcp,443,https,drupal/drupal,
magento.com,52.72.95.172,tcp,443,https,drupal/drupal,8
magento.com,52.72.95.172,tcp,443,https,nginx/nginx,
magento.com,54.175.128.241,tcp,80,http,nginx/nginx,
magento.com,54.175.128.241,tcp,443,http,amazon/awselb,2.0
magento.com,54.175.128.241,tcp,443,https,drupal/drupal,
magento.com,54.175.128.241,tcp,443,https,drupal/drupal,8
magento.com,54.175.128.241,tcp,443,https,nginx/nginx,
magento.com,54.210.170.107,tcp,80,http,nginx/nginx,
magento.com,54.210.170.107,tcp,443,http,amazon/awselb,2.0
magento.com,54.210.170.107,tcp,443,https,drupal/drupal,
magento.com,54.210.170.107,tcp,443,https,drupal/drupal,8
magento.com,54.210.170.107,tcp,443,https,nginx/nginx,
magentocommerce.com,3.91.140.51,tcp,80,http,nginx/nginx,
magentocommerce.com,3.91.140.51,tcp,443,http,amazon/awselb,2.0
magentocommerce.com,3.91.140.51,tcp,443,https,nginx/nginx,
magentocommerce.com,52.72.95.172,tcp,80,http,nginx/nginx,
magentocommerce.com,52.72.95.172,tcp,443,http,amazon/awselb,2.0
magentocommerce.com,52.72.95.172,tcp,443,https,nginx/nginx,
magentocommerce.com,54.175.128.241,tcp,80,http,nginx/nginx,
magentocommerce.com,54.175.128.241,tcp,443,http,amazon/awselb,2.0
magentocommerce.com,54.175.128.241,tcp,443,https,nginx/nginx,
magentocommerce.com,54.210.170.107,tcp,80,http,nginx/nginx,
magentocommerce.com,54.210.170.107,tcp,443,http,amazon/awselb,2.0
magentocommerce.com,54.210.170.107,tcp,443,https,nginx/nginx,
magentolive.com,52.44.165.90,tcp,80,http,nginx/nginx,
magentolive.com,52.44.165.90,tcp,443,http,amazon/awselb,2.0
magentolive.com,52.44.165.90,tcp,443,https,nginx/nginx,
magentolive.com,52.204.216.53,tcp,80,http,nginx/nginx,
magentolive.com,52.204.216.53,tcp,443,http,amazon/awselb,2.0
magentolive.com,52.204.216.53,tcp,443,https,nginx/nginx,
repo.magento.com,34.238.57.47,tcp,80,http,nginx/nginx,
repo.magento.com,34.238.57.47,tcp,443,http,amazon/awselb,2.0
repo.magento.com,34.238.57.47,tcp,443,https,nginx/nginx,
repo.magento.com,52.72.86.176,tcp,80,http,nginx/nginx,
repo.magento.com,52.72.86.176,tcp,443,http,amazon/awselb,2.0
repo.magento.com,52.72.86.176,tcp,443,https,nginx/nginx,
repo.magento.com,52.72.140.240,tcp,80,http,nginx/nginx,
repo.magento.com,52.72.140.240,tcp,443,http,amazon/awselb,2.0
repo.magento.com,52.72.140.240,tcp,443,https,nginx/nginx,
u.magento.com,3.91.140.51,tcp,80,http,nginx/nginx,
u.magento.com,3.91.140.51,tcp,443,http,amazon/awselb,2.0
u.magento.com,3.91.140.51,tcp,443,https,nginx/nginx,
u.magento.com,52.72.95.172,tcp,80,http,nginx/nginx,
u.magento.com,52.72.95.172,tcp,443,http,amazon/awselb,2.0
u.magento.com,52.72.95.172,tcp,443,https,nginx/nginx,
u.magento.com,54.175.128.241,tcp,80,http,nginx/nginx,
u.magento.com,54.175.128.241,tcp,443,http,amazon/awselb,2.0
u.magento.com,54.175.128.241,tcp,443,https,nginx/nginx,
u.magento.com,54.210.170.107,tcp,80,http,nginx/nginx,
u.magento.com,54.210.170.107,tcp,443,http,amazon/awselb,2.0
u.magento.com,54.210.170.107,tcp,443,https,nginx/nginx,
