Service ID,Name,Address,Transport,Port,Service,Certificate Chain
1,www.myetherwallet.com,104.18.201.107,tcp,80,http,
2,www.myetherwallet.com,104.18.201.107,tcp,443,http,
3,www.myetherwallet.com,104.18.201.107,tcp,443,https,1
4,www.myetherwallet.com,104.18.201.107,tcp,8080,http,
5,www.myetherwallet.com,104.18.201.107,tcp,8443,unknown,1
6,www.myetherwallet.com,104.18.202.107,tcp,80,http,
7,www.myetherwallet.com,104.18.202.107,tcp,443,http,
8,www.myetherwallet.com,104.18.202.107,tcp,443,https,1
9,www.myetherwallet.com,104.18.202.107,tcp,8080,http,
10,www.myetherwallet.com,104.18.202.107,tcp,8443,unknown,1
