Host,Address,Transport,Port,Service,Component,Version
keyguard.nimiq.com,54.37.206.58,tcp,80,http,nginx/nginx,
keyguard.nimiq.com,54.37.206.58,tcp,443,http,nginx/nginx,
keyguard.nimiq.com,54.37.206.58,tcp,443,https,nginx/nginx,
keyguard.nimiq.com,54.38.207.51,tcp,80,http,nginx/nginx,
keyguard.nimiq.com,54.38.207.51,tcp,443,http,nginx/nginx,
keyguard.nimiq.com,54.38.207.51,tcp,443,https,nginx/nginx,
keyguard.nimiq.com,54.39.85.178,tcp,80,http,nginx/nginx,
keyguard.nimiq.com,54.39.85.178,tcp,443,http,nginx/nginx,
keyguard.nimiq.com,54.39.85.178,tcp,443,https,nginx/nginx,
keyguard.nimiq.com,139.99.28.27,tcp,80,http,nginx/nginx,
keyguard.nimiq.com,139.99.28.27,tcp,443,http,nginx/nginx,
keyguard.nimiq.com,139.99.28.27,tcp,443,https,nginx/nginx,
safe.nimiq.com,54.36.168.61,tcp,80,http,nginx/nginx,
safe.nimiq.com,54.36.168.61,tcp,443,http,nginx/nginx,
safe.nimiq.com,54.36.168.61,tcp,443,https,nginx/nginx,
safe.nimiq.com,54.39.52.205,tcp,80,http,nginx/nginx,
safe.nimiq.com,54.39.52.205,tcp,443,http,nginx/nginx,
safe.nimiq.com,54.39.52.205,tcp,443,https,nginx/nginx,
safe.nimiq.com,139.99.121.130,tcp,80,http,nginx/nginx,
safe.nimiq.com,139.99.121.130,tcp,443,http,nginx/nginx,
safe.nimiq.com,139.99.121.130,tcp,443,https,nginx/nginx,
safe.nimiq.com,145.239.244.5,tcp,80,http,nginx/nginx,
safe.nimiq.com,145.239.244.5,tcp,443,http,nginx/nginx,
safe.nimiq.com,145.239.244.5,tcp,443,https,nginx/nginx,
