Host,Address,Transport,Port,Service
keyguard.nimiq.com,54.37.206.58,tcp,80,http
keyguard.nimiq.com,54.37.206.58,tcp,443,http
keyguard.nimiq.com,54.37.206.58,tcp,443,https
keyguard.nimiq.com,54.38.207.51,tcp,80,http
keyguard.nimiq.com,54.38.207.51,tcp,443,http
keyguard.nimiq.com,54.38.207.51,tcp,443,https
keyguard.nimiq.com,54.39.85.178,tcp,80,http
keyguard.nimiq.com,54.39.85.178,tcp,443,http
keyguard.nimiq.com,54.39.85.178,tcp,443,https
keyguard.nimiq.com,139.99.28.27,tcp,80,http
keyguard.nimiq.com,139.99.28.27,tcp,443,http
keyguard.nimiq.com,139.99.28.27,tcp,443,https
safe.nimiq.com,54.36.168.61,tcp,80,http
safe.nimiq.com,54.36.168.61,tcp,443,http
safe.nimiq.com,54.36.168.61,tcp,443,https
safe.nimiq.com,54.39.52.205,tcp,80,http
safe.nimiq.com,54.39.52.205,tcp,443,http
safe.nimiq.com,54.39.52.205,tcp,443,https
safe.nimiq.com,139.99.121.130,tcp,80,http
safe.nimiq.com,139.99.121.130,tcp,443,http
safe.nimiq.com,139.99.121.130,tcp,443,https
safe.nimiq.com,145.239.244.5,tcp,80,http
safe.nimiq.com,145.239.244.5,tcp,443,http
safe.nimiq.com,145.239.244.5,tcp,443,https
