Chain,Depth,Type,Name
3,0,DNS,py.pl
3,0,DNS,www.py.pl
4,0,DNS,www.braintreepayments.com
5,0,DNS,paypal.me
6,0,DNS,braintreepayments.com
7,0,DNS,*.venmo.com
7,0,DNS,venmo.com
8,0,DNS,ops.venmo.com
8,0,DNS,www.venmo.com
8,0,DNS,api.venmo.com
8,0,DNS,venmo.com
8,0,DNS,developer.venmo.com
9,0,DNS,jira.braintree.tools
9,0,DNS,btufte.braintree.tools
9,0,DNS,ci.braintree.tools
9,0,DNS,cidevtools.braintree.tools
9,0,DNS,dockerhub.braintree.tools
9,0,DNS,drake-lyrics.braintree.tools
9,0,DNS,environmentalist.braintree.tools
9,0,DNS,ghost.braintree.tools
9,0,DNS,grafana.braintree.tools
9,0,DNS,grafana-auth.braintree.tools
9,0,DNS,jenkinsqa.braintree.tools
9,0,DNS,jumpman.braintree.tools
9,0,DNS,ratelimits.braintree.tools
9,0,DNS,knowledge.braintree.tools
9,0,DNS,ops-panel.braintree.tools
9,0,DNS,opsweekly-triage.braintree.tools
9,0,DNS,opsweekly-infrastructure.braintree.tools
9,0,DNS,puppetdb.braintree.tools
9,0,DNS,reporting-taskworker-auditor.braintree.tools
9,0,DNS,reporting-taskworker-flower.braintree.tools
9,0,DNS,toby.braintree.tools
9,0,DNS,nabstatements.braintree.tools
9,0,DNS,application-inventory.braintree.tools
9,0,DNS,luigi.braintree.tools
9,0,DNS,prometheus.braintree.tools
9,0,DNS,polyglot.braintree.tools
9,0,DNS,brainiac.braintree.tools
10,0,DNS,xoom.com
10,0,DNS,www.xoom.com
11,0,DNS,www.xoom.com
11,0,DNS,xoom.com
11,0,DNS,m.xoom.com
12,0,DNS,paypal.co.uk
12,0,DNS,paypal.at
12,0,DNS,paypal.be
12,0,DNS,paypal.ca
12,0,DNS,paypal.ch
12,0,DNS,paypal.cl
12,0,DNS,paypal.cn
12,0,DNS,PAYPAL.CO
12,0,DNS,paypal.co.id
12,0,DNS,paypal.co.il
12,0,DNS,paypal.co.in
12,0,DNS,paypal.co.kr
12,0,DNS,paypal.co.nz
12,0,DNS,paypal.co.th
12,0,DNS,paypal.co.za
12,0,DNS,paypal.com.ar
12,0,DNS,paypal.com.au
12,0,DNS,paypal.com.br
12,0,DNS,paypal.com.hk
12,0,DNS,paypal.com.mx
12,0,DNS,PAYPAL.COM.MY
12,0,DNS,paypal.com.pe
12,0,DNS,paypal.com.pt
12,0,DNS,paypal.com.sa
12,0,DNS,paypal.com.sg
12,0,DNS,paypal.com.tr
12,0,DNS,paypal.com.tw
12,0,DNS,paypal.com.ve
12,0,DNS,paypal.de
12,0,DNS,paypal.dk
12,0,DNS,paypal.es
12,0,DNS,paypal.eu
12,0,DNS,paypal.fi
12,0,DNS,paypal.fr
12,0,DNS,paypal.ie
12,0,DNS,paypal.it
12,0,DNS,paypal.jp
12,0,DNS,paypal.lu
12,0,DNS,paypal.nl
12,0,DNS,paypal.no
12,0,DNS,paypal.ph
12,0,DNS,paypal.pl
12,0,DNS,paypal.pt
12,0,DNS,paypal.ru
12,0,DNS,paypal.se
12,0,DNS,paypal.vn
12,0,DNS,PAYPAL-DEUTSCHLAND.DE
12,0,DNS,paypal-forward.com
12,0,DNS,paypal-france.fr
12,0,DNS,paypal-latam.com
12,0,DNS,PAYPAL-MARKETING.PL
12,0,DNS,paypal-mena.com
12,0,DNS,paypal-nakit.com
12,0,DNS,paypal-prepagata.com
12,0,DNS,thepaypalblog.com
12,0,DNS,paypal.me
12,0,DNS,paypal-information.com
12,0,DNS,paypal-apps.com
12,0,DNS,paypalobjects.com
12,0,DNS,paypalbenefits.com
12,0,DNS,paypal-knowledge.com
12,0,DNS,paypal-knowledge-test.com
1,0,DNS,paypal.com
2,0,DNS,braintreegateway.com
2,0,DNS,www.braintreegateway.com
