Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
api.plaid.com,18.213.137.56,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5185168/C=US/ST=California/L=San Francisco/O=Plaid Inc/OU=Security/CN=production.plaid.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","May 15 00:00:00 2018 GMT","May 19 12:00:00 2020 GMT"
api.plaid.com,18.213.137.56,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
api.plaid.com,35.168.147.135,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5185168/C=US/ST=California/L=San Francisco/O=Plaid Inc/OU=Security/CN=production.plaid.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","May 15 00:00:00 2018 GMT","May 19 12:00:00 2020 GMT"
api.plaid.com,35.168.147.135,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
api.plaid.com,52.202.131.139,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5185168/C=US/ST=California/L=San Francisco/O=Plaid Inc/OU=Security/CN=production.plaid.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","May 15 00:00:00 2018 GMT","May 19 12:00:00 2020 GMT"
api.plaid.com,52.202.131.139,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
cdn.plaid.com,13.33.23.63,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5185168/C=US/ST=California/L=San Francisco/O=Plaid Inc/OU=Security/CN=cdn.plaid.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Nov  5 00:00:00 2018 GMT","Dec  2 12:00:00 2020 GMT"
cdn.plaid.com,13.33.23.63,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
cdn.plaid.com,13.33.23.86,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5185168/C=US/ST=California/L=San Francisco/O=Plaid Inc/OU=Security/CN=cdn.plaid.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Nov  5 00:00:00 2018 GMT","Dec  2 12:00:00 2020 GMT"
cdn.plaid.com,13.33.23.86,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
cdn.plaid.com,13.33.23.183,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5185168/C=US/ST=California/L=San Francisco/O=Plaid Inc/OU=Security/CN=cdn.plaid.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Nov  5 00:00:00 2018 GMT","Dec  2 12:00:00 2020 GMT"
cdn.plaid.com,13.33.23.183,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
cdn.plaid.com,13.33.23.240,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5185168/C=US/ST=California/L=San Francisco/O=Plaid Inc/OU=Security/CN=cdn.plaid.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Nov  5 00:00:00 2018 GMT","Dec  2 12:00:00 2020 GMT"
cdn.plaid.com,13.33.23.240,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
dashboard.plaid.com,18.204.234.70,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5185168/C=US/ST=California/L=San Francisco/O=Plaid Inc/OU=Security/CN=plaid.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","May 15 00:00:00 2018 GMT","Jul 22 12:00:00 2020 GMT"
dashboard.plaid.com,18.204.234.70,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
dashboard.plaid.com,54.86.97.253,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5185168/C=US/ST=California/L=San Francisco/O=Plaid Inc/OU=Security/CN=plaid.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","May 15 00:00:00 2018 GMT","Jul 22 12:00:00 2020 GMT"
dashboard.plaid.com,54.86.97.253,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
demo.plaid.com,3.89.239.87,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Plaid Inc/OU=Security/CN=*.plaid.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jul 12 00:00:00 2018 GMT","Jul 30 12:00:00 2020 GMT"
demo.plaid.com,3.89.239.87,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
demo.plaid.com,52.200.29.10,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Plaid Inc/OU=Security/CN=*.plaid.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jul 12 00:00:00 2018 GMT","Jul 30 12:00:00 2020 GMT"
demo.plaid.com,52.200.29.10,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
link.plaid.com,34.202.105.222,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Plaid Inc/OU=Security/CN=*.plaid.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jul 12 00:00:00 2018 GMT","Jul 30 12:00:00 2020 GMT"
link.plaid.com,34.202.105.222,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
link.plaid.com,54.210.166.79,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Plaid Inc/OU=Security/CN=*.plaid.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jul 12 00:00:00 2018 GMT","Jul 30 12:00:00 2020 GMT"
link.plaid.com,54.210.166.79,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
my.plaid.com,34.231.219.139,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5185168/C=US/ST=California/L=San Francisco/O=Plaid Inc/OU=Security/CN=plaid.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","May 15 00:00:00 2018 GMT","Jul 22 12:00:00 2020 GMT"
