Host,Address,Transport,Port,Service,Component,Version
api.plaid.com,18.213.137.56,tcp,443,http,amazon/awselb,2.0
api.plaid.com,35.168.147.135,tcp,443,http,amazon/awselb,2.0
api.plaid.com,52.202.131.139,tcp,443,http,amazon/awselb,2.0
cdn.plaid.com,13.33.23.34,tcp,80,http,amazon/cloudfront,
cdn.plaid.com,13.33.23.34,tcp,443,http,amazon/cloudfront,
cdn.plaid.com,13.33.23.34,tcp,443,https,amazon/s3,
cdn.plaid.com,13.33.23.95,tcp,80,http,amazon/cloudfront,
cdn.plaid.com,13.33.23.95,tcp,443,http,amazon/cloudfront,
cdn.plaid.com,13.33.23.95,tcp,443,https,amazon/s3,
cdn.plaid.com,13.33.23.138,tcp,80,http,amazon/cloudfront,
cdn.plaid.com,13.33.23.138,tcp,443,http,amazon/cloudfront,
cdn.plaid.com,13.33.23.138,tcp,443,https,amazon/s3,
cdn.plaid.com,13.33.23.221,tcp,80,http,amazon/cloudfront,
cdn.plaid.com,13.33.23.221,tcp,443,http,amazon/cloudfront,
cdn.plaid.com,13.33.23.221,tcp,443,https,amazon/s3,
dashboard.plaid.com,18.204.234.70,tcp,80,http,nginx/nginx,1.12.2
dashboard.plaid.com,18.204.234.70,tcp,443,https,nginx/nginx,
dashboard.plaid.com,54.86.97.253,tcp,80,http,nginx/nginx,1.12.2
dashboard.plaid.com,54.86.97.253,tcp,443,https,nginx/nginx,
demo.plaid.com,3.89.239.87,tcp,80,http,nginx/nginx,
demo.plaid.com,3.89.239.87,tcp,443,https,nginx/nginx,
demo.plaid.com,52.200.29.10,tcp,80,http,nginx/nginx,
demo.plaid.com,52.200.29.10,tcp,443,https,nginx/nginx,
link.plaid.com,34.202.105.222,tcp,443,http,amazon/awselb,2.0
link.plaid.com,54.210.166.79,tcp,443,http,amazon/awselb,2.0
my.plaid.com,34.231.219.139,tcp,80,http,nginx/nginx,1.12.2
my.plaid.com,34.231.219.139,tcp,443,https,nginx/nginx,
my.plaid.com,52.202.148.155,tcp,80,http,nginx/nginx,1.12.2
my.plaid.com,52.202.148.155,tcp,443,https,nginx/nginx,
production.plaid.com,34.203.72.234,tcp,443,http,nginx/nginx,
production.plaid.com,34.203.72.234,tcp,443,https,nginx/nginx,
production.plaid.com,52.45.211.202,tcp,443,http,nginx/nginx,
production.plaid.com,52.45.211.202,tcp,443,https,nginx/nginx,
production.plaid.com,52.202.203.67,tcp,443,http,nginx/nginx,
production.plaid.com,52.202.203.67,tcp,443,https,nginx/nginx,
