Chain,Depth,Type,Name
1,0,DNS,postmates.com
1,0,DNS,partner.postmates.com
1,0,DNS,*.postmates.com
2,0,DNS,i.postmates.com
2,0,DNS,canary.postmates.com
2,0,DNS,dualla.postmates.com
2,0,DNS,ipa.postmates.com
3,0,DNS,support.postmates.com
3,0,DNS,*.postmates.com
3,0,DNS,help.postmates.com
3,0,DNS,postmates.com
4,0,DNS,buyer-prod.postmates.com
4,0,DNS,*.postmates.com
4,0,DNS,postmates.com
5,0,DNS,email.postmates.com
5,0,DNS,postmates.com
5,0,DNS,*.postmates.com
6,0,DNS,postmates.com
6,0,DNS,www.postmates.com
7,0,DNS,*.postmates.com
7,0,DNS,postmates.com
7,0,DNS,about.postmates.com
8,0,DNS,fleet.postmates.com
8,0,DNS,*.postmates.com
8,0,DNS,postmates.com
