Host,Address,Transport,Port,Service
about.postmates.com,104.16.215.98,tcp,80,http
about.postmates.com,104.16.215.98,tcp,443,http
about.postmates.com,104.16.215.98,tcp,443,https
about.postmates.com,104.16.215.98,tcp,8080,unknown
about.postmates.com,104.16.215.98,tcp,8443,unknown
about.postmates.com,104.16.216.98,tcp,80,http
about.postmates.com,104.16.216.98,tcp,443,http
about.postmates.com,104.16.216.98,tcp,443,https
about.postmates.com,104.16.216.98,tcp,8080,unknown
about.postmates.com,104.16.216.98,tcp,8443,unknown
about.postmates.com,104.16.217.98,tcp,80,http
about.postmates.com,104.16.217.98,tcp,443,http
about.postmates.com,104.16.217.98,tcp,443,https
about.postmates.com,104.16.217.98,tcp,8080,unknown
about.postmates.com,104.16.217.98,tcp,8443,unknown
about.postmates.com,104.16.218.98,tcp,80,http
about.postmates.com,104.16.218.98,tcp,443,http
about.postmates.com,104.16.218.98,tcp,443,https
about.postmates.com,104.16.218.98,tcp,8080,unknown
about.postmates.com,104.16.218.98,tcp,8443,unknown
about.postmates.com,104.16.219.98,tcp,80,http
about.postmates.com,104.16.219.98,tcp,443,http
about.postmates.com,104.16.219.98,tcp,443,https
about.postmates.com,104.16.219.98,tcp,8080,unknown
about.postmates.com,104.16.219.98,tcp,8443,unknown
buyer-prod.postmates.com,104.16.215.98,tcp,80,http
buyer-prod.postmates.com,104.16.215.98,tcp,443,http
buyer-prod.postmates.com,104.16.215.98,tcp,443,https
buyer-prod.postmates.com,104.16.215.98,tcp,8080,http
buyer-prod.postmates.com,104.16.215.98,tcp,8443,unknown
buyer-prod.postmates.com,104.16.216.98,tcp,80,http
buyer-prod.postmates.com,104.16.216.98,tcp,443,http
buyer-prod.postmates.com,104.16.216.98,tcp,443,https
buyer-prod.postmates.com,104.16.216.98,tcp,8080,http
buyer-prod.postmates.com,104.16.216.98,tcp,8443,unknown
buyer-prod.postmates.com,104.16.217.98,tcp,80,http
buyer-prod.postmates.com,104.16.217.98,tcp,443,http
buyer-prod.postmates.com,104.16.217.98,tcp,443,https
buyer-prod.postmates.com,104.16.217.98,tcp,8080,http
buyer-prod.postmates.com,104.16.217.98,tcp,8443,unknown
buyer-prod.postmates.com,104.16.218.98,tcp,80,http
buyer-prod.postmates.com,104.16.218.98,tcp,443,http
buyer-prod.postmates.com,104.16.218.98,tcp,443,https
buyer-prod.postmates.com,104.16.218.98,tcp,8080,http
buyer-prod.postmates.com,104.16.218.98,tcp,8443,unknown
buyer-prod.postmates.com,104.16.219.98,tcp,80,http
buyer-prod.postmates.com,104.16.219.98,tcp,443,http
buyer-prod.postmates.com,104.16.219.98,tcp,443,https
buyer-prod.postmates.com,104.16.219.98,tcp,8080,http
buyer-prod.postmates.com,104.16.219.98,tcp,8443,unknown
fleet.postmates.com,104.16.215.98,tcp,80,http
fleet.postmates.com,104.16.215.98,tcp,443,http
fleet.postmates.com,104.16.215.98,tcp,443,https
fleet.postmates.com,104.16.215.98,tcp,8080,http
fleet.postmates.com,104.16.215.98,tcp,8443,unknown
fleet.postmates.com,104.16.216.98,tcp,80,http
fleet.postmates.com,104.16.216.98,tcp,443,http
fleet.postmates.com,104.16.216.98,tcp,443,https
fleet.postmates.com,104.16.216.98,tcp,8080,http
fleet.postmates.com,104.16.216.98,tcp,8443,unknown
fleet.postmates.com,104.16.217.98,tcp,80,http
fleet.postmates.com,104.16.217.98,tcp,443,http
fleet.postmates.com,104.16.217.98,tcp,443,https
fleet.postmates.com,104.16.217.98,tcp,8080,http
fleet.postmates.com,104.16.217.98,tcp,8443,unknown
fleet.postmates.com,104.16.218.98,tcp,80,http
fleet.postmates.com,104.16.218.98,tcp,443,http
fleet.postmates.com,104.16.218.98,tcp,443,https
fleet.postmates.com,104.16.218.98,tcp,8080,http
fleet.postmates.com,104.16.218.98,tcp,8443,unknown
fleet.postmates.com,104.16.219.98,tcp,80,http
fleet.postmates.com,104.16.219.98,tcp,443,http
fleet.postmates.com,104.16.219.98,tcp,443,https
fleet.postmates.com,104.16.219.98,tcp,8080,http
fleet.postmates.com,104.16.219.98,tcp,8443,unknown
ipa.postmates.com,104.16.40.4,tcp,80,http
ipa.postmates.com,104.16.40.4,tcp,443,http
ipa.postmates.com,104.16.40.4,tcp,443,https
ipa.postmates.com,104.16.40.4,tcp,8080,unknown
ipa.postmates.com,104.16.40.4,tcp,8443,unknown
ipa.postmates.com,104.16.41.4,tcp,80,http
ipa.postmates.com,104.16.41.4,tcp,443,http
ipa.postmates.com,104.16.41.4,tcp,443,https
ipa.postmates.com,104.16.41.4,tcp,8080,unknown
ipa.postmates.com,104.16.41.4,tcp,8443,unknown
partner.postmates.com,104.16.215.98,tcp,80,http
partner.postmates.com,104.16.215.98,tcp,443,http
partner.postmates.com,104.16.215.98,tcp,443,https
partner.postmates.com,104.16.215.98,tcp,8080,http
partner.postmates.com,104.16.215.98,tcp,8443,unknown
partner.postmates.com,104.16.216.98,tcp,80,http
partner.postmates.com,104.16.216.98,tcp,443,http
partner.postmates.com,104.16.216.98,tcp,443,https
partner.postmates.com,104.16.216.98,tcp,8080,http
partner.postmates.com,104.16.216.98,tcp,8443,unknown
partner.postmates.com,104.16.217.98,tcp,80,http
partner.postmates.com,104.16.217.98,tcp,443,http
partner.postmates.com,104.16.217.98,tcp,443,https
partner.postmates.com,104.16.217.98,tcp,8080,http
partner.postmates.com,104.16.217.98,tcp,8443,unknown
partner.postmates.com,104.16.218.98,tcp,80,http
partner.postmates.com,104.16.218.98,tcp,443,http
partner.postmates.com,104.16.218.98,tcp,443,https
partner.postmates.com,104.16.218.98,tcp,8080,http
partner.postmates.com,104.16.218.98,tcp,8443,unknown
partner.postmates.com,104.16.219.98,tcp,80,http
partner.postmates.com,104.16.219.98,tcp,443,http
partner.postmates.com,104.16.219.98,tcp,443,https
partner.postmates.com,104.16.219.98,tcp,8080,http
partner.postmates.com,104.16.219.98,tcp,8443,unknown
postmates.com,104.16.77.27,tcp,80,http
postmates.com,104.16.77.27,tcp,443,http
postmates.com,104.16.77.27,tcp,443,https
postmates.com,104.16.77.27,tcp,8080,http
postmates.com,104.16.77.27,tcp,8443,unknown
postmates.com,104.16.78.27,tcp,80,http
postmates.com,104.16.78.27,tcp,443,http
postmates.com,104.16.78.27,tcp,443,https
postmates.com,104.16.78.27,tcp,8080,http
postmates.com,104.16.78.27,tcp,8443,unknown
raster-static.postmates.com,104.16.215.98,tcp,80,http
raster-static.postmates.com,104.16.215.98,tcp,443,http
raster-static.postmates.com,104.16.215.98,tcp,443,https
raster-static.postmates.com,104.16.215.98,tcp,8080,unknown
raster-static.postmates.com,104.16.215.98,tcp,8443,unknown
raster-static.postmates.com,104.16.216.98,tcp,80,http
raster-static.postmates.com,104.16.216.98,tcp,443,http
raster-static.postmates.com,104.16.216.98,tcp,443,https
raster-static.postmates.com,104.16.216.98,tcp,8080,unknown
raster-static.postmates.com,104.16.216.98,tcp,8443,unknown
raster-static.postmates.com,104.16.217.98,tcp,80,http
raster-static.postmates.com,104.16.217.98,tcp,443,http
raster-static.postmates.com,104.16.217.98,tcp,443,https
raster-static.postmates.com,104.16.217.98,tcp,8080,unknown
raster-static.postmates.com,104.16.217.98,tcp,8443,unknown
