Host,Address,Transport,Port,Service,Component,Version
api.rezserver.com,64.6.21.28,tcp,80,http,nginx/nginx,
api.rezserver.com,64.6.21.28,tcp,443,https,nginx/nginx,
api.rezserver.com,64.6.28.28,tcp,80,http,nginx/nginx,
api.rezserver.com,64.6.28.28,tcp,443,https,nginx/nginx,
reservations.rezserver.com,198.101.184.252,tcp,80,http,apache/apache,
reservations.rezserver.com,198.101.184.252,tcp,443,https,apache/apache,
www.bookingholdings.com,104.154.66.21,tcp,80,http,nginx/nginx,
www.bookingholdings.com,104.154.66.21,tcp,443,http,nginx/nginx,
www.bookingholdings.com,104.154.66.21,tcp,443,https,nginx/nginx,
www.priceline.com,151.101.194.186,tcp,443,https,nginx/nginx,
