Host,Address,Transport,Port,Service
admin.rezserver.com,151.101.2.150,tcp,80,http
admin.rezserver.com,151.101.2.150,tcp,443,https
admin.rezserver.com,151.101.66.150,tcp,80,http
admin.rezserver.com,151.101.66.150,tcp,443,https
admin.rezserver.com,151.101.130.150,tcp,80,http
admin.rezserver.com,151.101.130.150,tcp,443,https
admin.rezserver.com,151.101.194.150,tcp,80,http
admin.rezserver.com,151.101.194.150,tcp,443,https
api.rezserver.com,64.6.21.28,tcp,80,http
api.rezserver.com,64.6.21.28,tcp,443,https
api.rezserver.com,64.6.28.28,tcp,80,http
api.rezserver.com,64.6.28.28,tcp,443,https
cruises.priceline.com,209.202.133.98,tcp,80,http
cruises.priceline.com,209.202.133.98,tcp,443,https
reservations.rezserver.com,198.101.184.252,tcp,80,http
reservations.rezserver.com,198.101.184.252,tcp,443,https
secure.rezserver.com,151.101.2.150,tcp,80,http
secure.rezserver.com,151.101.2.150,tcp,443,https
secure.rezserver.com,151.101.66.150,tcp,80,http
secure.rezserver.com,151.101.66.150,tcp,443,https
secure.rezserver.com,151.101.130.150,tcp,80,http
secure.rezserver.com,151.101.130.150,tcp,443,https
secure.rezserver.com,151.101.194.150,tcp,80,http
secure.rezserver.com,151.101.194.150,tcp,443,https
www.bookingholdings.com,104.154.66.21,tcp,80,http
www.bookingholdings.com,104.154.66.21,tcp,443,http
www.bookingholdings.com,104.154.66.21,tcp,443,https
www.priceline.com,151.101.2.186,tcp,80,http
www.priceline.com,151.101.2.186,tcp,443,https
www.priceline.com,151.101.66.186,tcp,80,http
www.priceline.com,151.101.66.186,tcp,443,https
www.priceline.com,151.101.130.186,tcp,80,http
www.priceline.com,151.101.130.186,tcp,443,https
www.priceline.com,151.101.194.186,tcp,80,http
www.priceline.com,151.101.194.186,tcp,443,https
