Host,Address,Transport,Port,Service
blog.quantopian.com,104.20.2.106,tcp,80,http
blog.quantopian.com,104.20.2.106,tcp,443,http
blog.quantopian.com,104.20.2.106,tcp,443,https
blog.quantopian.com,104.20.2.106,tcp,8080,unknown
blog.quantopian.com,104.20.2.106,tcp,8443,unknown
blog.quantopian.com,104.20.3.106,tcp,80,http
blog.quantopian.com,104.20.3.106,tcp,443,http
blog.quantopian.com,104.20.3.106,tcp,443,https
blog.quantopian.com,104.20.3.106,tcp,8080,unknown
blog.quantopian.com,104.20.3.106,tcp,8443,unknown
quantshack.com,104.24.11.104,tcp,80,http
quantshack.com,104.24.11.104,tcp,443,http
quantshack.com,104.24.11.104,tcp,443,https
quantshack.com,104.24.11.104,tcp,8080,unknown
quantshack.com,104.24.11.104,tcp,8443,unknown
quantshack.com,104.24.12.104,tcp,80,http
quantshack.com,104.24.12.104,tcp,443,http
quantshack.com,104.24.12.104,tcp,443,https
quantshack.com,104.24.12.104,tcp,8080,unknown
quantshack.com,104.24.12.104,tcp,8443,unknown
www.quantopian.com,104.20.2.106,tcp,80,http
www.quantopian.com,104.20.2.106,tcp,443,http
www.quantopian.com,104.20.2.106,tcp,443,https
www.quantopian.com,104.20.2.106,tcp,8080,unknown
www.quantopian.com,104.20.2.106,tcp,8443,unknown
www.quantopian.com,104.20.3.106,tcp,80,http
www.quantopian.com,104.20.3.106,tcp,443,http
www.quantopian.com,104.20.3.106,tcp,443,https
www.quantopian.com,104.20.3.106,tcp,8080,unknown
www.quantopian.com,104.20.3.106,tcp,8443,unknown
www.quantshack.com,104.24.11.104,tcp,80,http
www.quantshack.com,104.24.11.104,tcp,443,http
www.quantshack.com,104.24.11.104,tcp,443,https
www.quantshack.com,104.24.11.104,tcp,8080,unknown
www.quantshack.com,104.24.11.104,tcp,8443,unknown
www.quantshack.com,104.24.12.104,tcp,80,http
www.quantshack.com,104.24.12.104,tcp,443,http
www.quantshack.com,104.24.12.104,tcp,443,https
www.quantshack.com,104.24.12.104,tcp,8080,unknown
www.quantshack.com,104.24.12.104,tcp,8443,unknown
