Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
api.recarga.com,13.32.223.114,tcp,443,https,0,"/OU=Domain Control Validated/CN=*.recarga.com","/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./OU=http://certs.godaddy.com/repository//CN=Go Daddy Secure Certificate Authority - G2","Nov 21 16:10:57 2018 GMT","Nov 21 16:10:57 2020 GMT"
api.recarga.com,13.32.223.114,tcp,443,https,1,"/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./OU=http://certs.godaddy.com/repository//CN=Go Daddy Secure Certificate Authority - G2","/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./CN=Go Daddy Root Certificate Authority - G2","May  3 07:00:00 2011 GMT","May  3 07:00:00 2031 GMT"
api.recarga.com,13.32.223.114,tcp,443,https,2,"/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./CN=Go Daddy Root Certificate Authority - G2","/C=US/O=The Go Daddy Group, Inc./OU=Go Daddy Class 2 Certification Authority","Jan  1 07:00:00 2014 GMT","May 30 07:00:00 2031 GMT"
api.recarga.com,13.32.223.114,tcp,443,https,3,"/C=US/O=The Go Daddy Group, Inc./OU=Go Daddy Class 2 Certification Authority","/C=US/O=The Go Daddy Group, Inc./OU=Go Daddy Class 2 Certification Authority","Jun 29 17:06:20 2004 GMT","Jun 29 17:06:20 2034 GMT"
api.recarga.com,13.32.223.164,tcp,443,https,0,"/OU=Domain Control Validated/CN=*.recarga.com","/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./OU=http://certs.godaddy.com/repository//CN=Go Daddy Secure Certificate Authority - G2","Nov 21 16:10:57 2018 GMT","Nov 21 16:10:57 2020 GMT"
api.recarga.com,13.32.223.164,tcp,443,https,1,"/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./OU=http://certs.godaddy.com/repository//CN=Go Daddy Secure Certificate Authority - G2","/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./CN=Go Daddy Root Certificate Authority - G2","May  3 07:00:00 2011 GMT","May  3 07:00:00 2031 GMT"
api.recarga.com,13.32.223.164,tcp,443,https,2,"/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./CN=Go Daddy Root Certificate Authority - G2","/C=US/O=The Go Daddy Group, Inc./OU=Go Daddy Class 2 Certification Authority","Jan  1 07:00:00 2014 GMT","May 30 07:00:00 2031 GMT"
api.recarga.com,13.32.223.164,tcp,443,https,3,"/C=US/O=The Go Daddy Group, Inc./OU=Go Daddy Class 2 Certification Authority","/C=US/O=The Go Daddy Group, Inc./OU=Go Daddy Class 2 Certification Authority","Jun 29 17:06:20 2004 GMT","Jun 29 17:06:20 2034 GMT"
api.recarga.com,13.32.223.173,tcp,443,https,0,"/OU=Domain Control Validated/CN=*.recarga.com","/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./OU=http://certs.godaddy.com/repository//CN=Go Daddy Secure Certificate Authority - G2","Nov 21 16:10:57 2018 GMT","Nov 21 16:10:57 2020 GMT"
api.recarga.com,13.32.223.173,tcp,443,https,1,"/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./OU=http://certs.godaddy.com/repository//CN=Go Daddy Secure Certificate Authority - G2","/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./CN=Go Daddy Root Certificate Authority - G2","May  3 07:00:00 2011 GMT","May  3 07:00:00 2031 GMT"
api.recarga.com,13.32.223.173,tcp,443,https,2,"/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./CN=Go Daddy Root Certificate Authority - G2","/C=US/O=The Go Daddy Group, Inc./OU=Go Daddy Class 2 Certification Authority","Jan  1 07:00:00 2014 GMT","May 30 07:00:00 2031 GMT"
api.recarga.com,13.32.223.173,tcp,443,https,3,"/C=US/O=The Go Daddy Group, Inc./OU=Go Daddy Class 2 Certification Authority","/C=US/O=The Go Daddy Group, Inc./OU=Go Daddy Class 2 Certification Authority","Jun 29 17:06:20 2004 GMT","Jun 29 17:06:20 2034 GMT"
api.recarga.com,13.32.223.196,tcp,443,https,0,"/OU=Domain Control Validated/CN=*.recarga.com","/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./OU=http://certs.godaddy.com/repository//CN=Go Daddy Secure Certificate Authority - G2","Nov 21 16:10:57 2018 GMT","Nov 21 16:10:57 2020 GMT"
api.recarga.com,13.32.223.196,tcp,443,https,1,"/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./OU=http://certs.godaddy.com/repository//CN=Go Daddy Secure Certificate Authority - G2","/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./CN=Go Daddy Root Certificate Authority - G2","May  3 07:00:00 2011 GMT","May  3 07:00:00 2031 GMT"
api.recarga.com,13.32.223.196,tcp,443,https,2,"/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./CN=Go Daddy Root Certificate Authority - G2","/C=US/O=The Go Daddy Group, Inc./OU=Go Daddy Class 2 Certification Authority","Jan  1 07:00:00 2014 GMT","May 30 07:00:00 2031 GMT"
api.recarga.com,13.32.223.196,tcp,443,https,3,"/C=US/O=The Go Daddy Group, Inc./OU=Go Daddy Class 2 Certification Authority","/C=US/O=The Go Daddy Group, Inc./OU=Go Daddy Class 2 Certification Authority","Jun 29 17:06:20 2004 GMT","Jun 29 17:06:20 2034 GMT"
