Host,Address,Transport,Port,Service,Component,Version
api.recarga.com,13.33.23.19,tcp,80,http,amazon/cloudfront,
api.recarga.com,13.33.23.19,tcp,443,http,amazon/cloudfront,
api.recarga.com,13.33.23.19,tcp,443,https,apache/apache,
api.recarga.com,13.33.23.186,tcp,80,http,amazon/cloudfront,
api.recarga.com,13.33.23.186,tcp,443,http,amazon/cloudfront,
api.recarga.com,13.33.23.186,tcp,443,https,apache/apache,
api.recarga.com,13.33.23.195,tcp,80,http,amazon/cloudfront,
api.recarga.com,13.33.23.195,tcp,443,http,amazon/cloudfront,
api.recarga.com,13.33.23.195,tcp,443,https,apache/apache,
api.recarga.com,13.33.23.238,tcp,80,http,amazon/cloudfront,
api.recarga.com,13.33.23.238,tcp,443,http,amazon/cloudfront,
api.recarga.com,13.33.23.238,tcp,443,https,apache/apache,
