Chain,Depth,Subject,Issuer,Not Valid Before,Not Valid After,# of SANs
1,0,/C=US/ST=New York/L=New York/O=Rockstar Games/OU=Rockstar Games/CN=www.rockstargames.com,"/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2012 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1K",Mar 21 18:22:58 2019 GMT,Apr 10 18:52:57 2021 GMT,22
1,1,"/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2012 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1K","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2009 Entrust, Inc. - for authorized use only/CN=Entrust Root Certification Authority - G2",Oct  5 19:13:56 2015 GMT,Dec  5 19:43:56 2030 GMT,0
2,0,"/C=US/ST=New York/L=New York/O=Rockstar Games, Inc./OU=Rockstar Games/CN=www.rockstargames.com",/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA,Apr 26 00:00:00 2019 GMT,Jun 15 12:00:00 2020 GMT,49
2,1,/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA,Mar  8 12:00:00 2013 GMT,Mar  8 12:00:00 2023 GMT,0
3,0,"/C=US/ST=New York/L=New York/O=Rockstar Games, Inc./OU=Rockstar Games, Inc./CN=www.lifeinvader.com",/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA,Jul 20 00:00:00 2018 GMT,Jul 24 12:00:00 2020 GMT,2
3,1,/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA,Mar  8 12:00:00 2013 GMT,Mar  8 12:00:00 2023 GMT,0
3,2,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA,Nov 10 00:00:00 2006 GMT,Nov 10 00:00:00 2031 GMT,0
4,0,"/C=US/ST=New York/L=New York/O=Rockstar Games, Inc./OU=Rockstar Games/CN=socialclub.rockstargames.com",/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA,Jan 25 00:00:00 2019 GMT,Aug 26 12:00:00 2020 GMT,2
4,1,/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA,Mar  8 12:00:00 2013 GMT,Mar  8 12:00:00 2023 GMT,0
4,2,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA,Nov 10 00:00:00 2006 GMT,Nov 10 00:00:00 2031 GMT,0
5,0,/C=US/ST=New York/L=New York/O=Rockstar Games/OU=Rockstar Games/CN=*.ros.rockstargames.com,"/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2012 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1K",Aug  7 21:47:01 2018 GMT,Nov  6 22:17:01 2020 GMT,2
5,1,"/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2012 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1K","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2009 Entrust, Inc. - for authorized use only/CN=Entrust Root Certification Authority - G2",Oct  5 19:13:56 2015 GMT,Dec  5 19:43:56 2030 GMT,0
