Chain,Depth,Type,Name
1,0,DNS,www.rockstargames.com
1,0,DNS,rockstargames.com
1,0,DNS,media.rockstargames.com
1,0,DNS,cdn.sc.rockstargames.com
1,0,DNS,updates.rockstargames.com
1,0,DNS,supportfiles.rockstargames.com
1,0,DNS,a.rockfoo.com
1,0,DNS,a.rsg.sc
1,0,DNS,dev.cloud.rockstargames.com
1,0,DNS,videos.rockstargames.com
1,0,DNS,prod.cloud.rockstargames.com
1,0,DNS,stage.cloud.rockstargames.com
1,0,DNS,prod.hosted.cloud.rockstargames.com
1,0,DNS,load.hosted.cloud.rockstargames.com
1,0,DNS,cert.cloud.rockstargames.com
1,0,DNS,dev.hosted.cloud.rockstargames.com
1,0,DNS,cert.hosted.cloud.rockstargames.com
1,0,DNS,rage.hosted.cloud.rockstargames.com
1,0,DNS,mls.rockstargames.com
1,0,DNS,patches.rockstargames.com
1,0,DNS,stage-dev.hosted.cloud.rockstargames.com
1,0,DNS,stage-prod.hosted.cloud.rockstargames.com
2,0,DNS,www.rockstargames.com
2,0,DNS,patches.rockstargames.com
2,0,DNS,support.rockstargames.com
2,0,DNS,mls.rockstargames.com
2,0,DNS,rage.hosted.cloud.rockstargames.com
2,0,DNS,cert.hosted.cloud.rockstargames.com
2,0,DNS,dev.hosted.cloud.rockstargames.com
2,0,DNS,cert.cloud.rockstargames.com
2,0,DNS,load.hosted.cloud.rockstargames.com
2,0,DNS,prod.hosted.cloud.rockstargames.com
2,0,DNS,stage.cloud.rockstargames.com
2,0,DNS,prod.cloud.rockstargames.com
2,0,DNS,videos.rockstargames.com
2,0,DNS,dev.cloud.rockstargames.com
2,0,DNS,a.rsg.sc
2,0,DNS,cdn.sc.rockstargames.com
2,0,DNS,supportfiles.rockstargames.com
2,0,DNS,media.rockstargames.com
2,0,DNS,updates.rockstargames.com
2,0,DNS,a.rockfoo.com
2,0,DNS,rockstargames.com
2,0,DNS,signin-s.rsg.sc
2,0,DNS,s.rsg.sc
2,0,DNS,cert-catalog-cloud.rockstargames.com
2,0,DNS,cert-locator-cloud.rockstargames.com
2,0,DNS,dev-catalog-cloud.rockstargames.com
2,0,DNS,dev-locator-cloud.rockstargames.com
2,0,DNS,prod-catalog-cloud.rockstargames.com
2,0,DNS,prod-locator-cloud.rockstargames.com
2,0,DNS,rage-catalog-cloud.rockstargames.com
2,0,DNS,rage-locator-cloud.rockstargames.com
2,0,DNS,stage-cert-catalog-cloud.rockstargames.com
2,0,DNS,stage-cert-locator-cloud.rockstargames.com
2,0,DNS,stage-dev-catalog-cloud.rockstargames.com
2,0,DNS,stage-dev-locator-cloud.rockstargames.com
2,0,DNS,stage-prod-catalog-cloud.rockstargames.com
2,0,DNS,stage-prod-locator-cloud.rockstargames.com
2,0,DNS,gamedownloads.rockstargames.com
2,0,DNS,s.rockfoo.com
2,0,DNS,dev-gamedownloads.rockstargames.com
2,0,DNS,www.reddeadonline.com
2,0,DNS,reddeadonline.com
2,0,DNS,wheelerrawson.co
2,0,DNS,wheelerrawson.com
2,0,DNS,wheelerrawsonandco.co
2,0,DNS,wheelerrawsonandco.com
2,0,DNS,stage-cert-gamedownloads.rockstargames.com
2,0,DNS,stage-dev-gamedownloads.rockstargames.com
2,0,DNS,stage-prod-gamedownloads.rockstargames.com
3,0,DNS,*.ros.rockstargames.com
3,0,DNS,ros.rockstargames.com
4,0,DNS,socialclub.rockstargames.com
4,0,DNS,www.socialclub.rockstargames.com
5,0,DNS,www.lifeinvader.com
5,0,DNS,lifeinvader.com
