Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
rubygems.org,2a04:4e42::70,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Fastly, Inc./CN=l.ssl.fastly.net","/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Organization Validation CA - SHA256 - G2","Apr 13 18:39:09 2018 GMT","Jun 11 18:15:41 2020 GMT"
rubygems.org,2a04:4e42::70,tcp,443,https,1,"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Organization Validation CA - SHA256 - G2","/C=BE/O=GlobalSign nv-sa/OU=Root CA/CN=GlobalSign Root CA","Feb 20 10:00:00 2014 GMT","Feb 20 10:00:00 2024 GMT"
rubygems.org,151.101.0.70,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Fastly, Inc./CN=l.ssl.fastly.net","/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Organization Validation CA - SHA256 - G2","Apr 13 18:39:09 2018 GMT","Jun 11 18:15:41 2020 GMT"
rubygems.org,151.101.0.70,tcp,443,https,1,"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Organization Validation CA - SHA256 - G2","/C=BE/O=GlobalSign nv-sa/OU=Root CA/CN=GlobalSign Root CA","Feb 20 10:00:00 2014 GMT","Feb 20 10:00:00 2024 GMT"
rubygems.org,151.101.64.70,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Fastly, Inc./CN=l.ssl.fastly.net","/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Organization Validation CA - SHA256 - G2","Apr 13 18:39:09 2018 GMT","Jun 11 18:15:41 2020 GMT"
rubygems.org,151.101.64.70,tcp,443,https,1,"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Organization Validation CA - SHA256 - G2","/C=BE/O=GlobalSign nv-sa/OU=Root CA/CN=GlobalSign Root CA","Feb 20 10:00:00 2014 GMT","Feb 20 10:00:00 2024 GMT"
rubygems.org,151.101.128.70,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Fastly, Inc./CN=l.ssl.fastly.net","/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Organization Validation CA - SHA256 - G2","Apr 13 18:39:09 2018 GMT","Jun 11 18:15:41 2020 GMT"
rubygems.org,151.101.128.70,tcp,443,https,1,"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Organization Validation CA - SHA256 - G2","/C=BE/O=GlobalSign nv-sa/OU=Root CA/CN=GlobalSign Root CA","Feb 20 10:00:00 2014 GMT","Feb 20 10:00:00 2024 GMT"
rubygems.org,151.101.192.70,tcp,443,https,0,"/C=US/ST=California/L=San Francisco/O=Fastly, Inc./CN=l.ssl.fastly.net","/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Organization Validation CA - SHA256 - G2","Apr 13 18:39:09 2018 GMT","Jun 11 18:15:41 2020 GMT"
rubygems.org,151.101.192.70,tcp,443,https,1,"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Organization Validation CA - SHA256 - G2","/C=BE/O=GlobalSign nv-sa/OU=Root CA/CN=GlobalSign Root CA","Feb 20 10:00:00 2014 GMT","Feb 20 10:00:00 2024 GMT"
