Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
admin.shipt.com,34.224.192.63,tcp,443,https,0,/CN=*.shipt.com,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","Jul 18 00:00:00 2018 GMT","Oct  4 12:00:00 2019 GMT"
admin.shipt.com,34.224.192.63,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Nov  6 12:23:33 2017 GMT","Nov  6 12:23:33 2027 GMT"
admin.shipt.com,52.45.226.45,tcp,443,https,0,/CN=*.shipt.com,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","Jul 18 00:00:00 2018 GMT","Oct  4 12:00:00 2019 GMT"
admin.shipt.com,52.45.226.45,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Nov  6 12:23:33 2017 GMT","Nov  6 12:23:33 2027 GMT"
admin.shipt.com,52.72.50.243,tcp,443,https,0,/CN=*.shipt.com,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","Jul 18 00:00:00 2018 GMT","Oct  4 12:00:00 2019 GMT"
admin.shipt.com,52.72.50.243,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Nov  6 12:23:33 2017 GMT","Nov  6 12:23:33 2027 GMT"
api.shipt.com,34.233.178.252,tcp,443,https,0,/CN=*.shipt.com,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","Jul 18 00:00:00 2018 GMT","Oct  4 12:00:00 2019 GMT"
api.shipt.com,34.233.178.252,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Nov  6 12:23:33 2017 GMT","Nov  6 12:23:33 2027 GMT"
api.shipt.com,35.168.50.219,tcp,443,https,0,/CN=*.shipt.com,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","Jul 18 00:00:00 2018 GMT","Oct  4 12:00:00 2019 GMT"
api.shipt.com,35.168.50.219,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Nov  6 12:23:33 2017 GMT","Nov  6 12:23:33 2027 GMT"
api.shipt.com,35.171.90.59,tcp,443,https,0,/CN=*.shipt.com,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","Jul 18 00:00:00 2018 GMT","Oct  4 12:00:00 2019 GMT"
api.shipt.com,35.171.90.59,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Nov  6 12:23:33 2017 GMT","Nov  6 12:23:33 2027 GMT"
app.shipt.com,34.233.178.252,tcp,443,https,0,/CN=*.shipt.com,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","Jul 18 00:00:00 2018 GMT","Oct  4 12:00:00 2019 GMT"
app.shipt.com,34.233.178.252,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Nov  6 12:23:33 2017 GMT","Nov  6 12:23:33 2027 GMT"
app.shipt.com,35.168.50.219,tcp,443,https,0,/CN=*.shipt.com,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","Jul 18 00:00:00 2018 GMT","Oct  4 12:00:00 2019 GMT"
app.shipt.com,35.168.50.219,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Nov  6 12:23:33 2017 GMT","Nov  6 12:23:33 2027 GMT"
app.shipt.com,35.171.90.59,tcp,443,https,0,/CN=*.shipt.com,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","Jul 18 00:00:00 2018 GMT","Oct  4 12:00:00 2019 GMT"
app.shipt.com,35.171.90.59,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Nov  6 12:23:33 2017 GMT","Nov  6 12:23:33 2027 GMT"
shop.shipt.com,13.33.47.71,tcp,443,https,0,/CN=*.shipt.com,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","Jul 18 00:00:00 2018 GMT","Oct  4 12:00:00 2019 GMT"
shop.shipt.com,13.33.47.71,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Nov  6 12:23:33 2017 GMT","Nov  6 12:23:33 2027 GMT"
shop.shipt.com,13.33.47.81,tcp,443,https,0,/CN=*.shipt.com,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","Jul 18 00:00:00 2018 GMT","Oct  4 12:00:00 2019 GMT"
shop.shipt.com,13.33.47.81,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Nov  6 12:23:33 2017 GMT","Nov  6 12:23:33 2027 GMT"
shop.shipt.com,13.33.47.135,tcp,443,https,0,/CN=*.shipt.com,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=RapidSSL RSA CA 2018","Jul 18 00:00:00 2018 GMT","Oct  4 12:00:00 2019 GMT"
