Host,Address,Transport,Port,Service,Component,Version
admin.shipt.com,34.224.192.63,tcp,80,http,amazon/awselb,2.0
admin.shipt.com,34.224.192.63,tcp,443,http,amazon/awselb,2.0
admin.shipt.com,52.45.226.45,tcp,80,http,amazon/awselb,2.0
admin.shipt.com,52.45.226.45,tcp,443,http,amazon/awselb,2.0
admin.shipt.com,52.72.50.243,tcp,80,http,amazon/awselb,2.0
admin.shipt.com,52.72.50.243,tcp,443,http,amazon/awselb,2.0
api.shipt.com,34.233.178.252,tcp,443,http,nginx/nginx,
api.shipt.com,34.233.178.252,tcp,443,https,nginx/nginx,
api.shipt.com,35.168.50.219,tcp,443,http,nginx/nginx,
api.shipt.com,35.168.50.219,tcp,443,https,nginx/nginx,
api.shipt.com,35.171.90.59,tcp,443,http,nginx/nginx,
api.shipt.com,35.171.90.59,tcp,443,https,nginx/nginx,
app.shipt.com,34.233.178.252,tcp,443,http,nginx/nginx,
app.shipt.com,34.233.178.252,tcp,443,https,nginx/nginx,
app.shipt.com,35.168.50.219,tcp,443,http,nginx/nginx,
app.shipt.com,35.168.50.219,tcp,443,https,nginx/nginx,
app.shipt.com,35.171.90.59,tcp,443,http,nginx/nginx,
app.shipt.com,35.171.90.59,tcp,443,https,nginx/nginx,
shop.shipt.com,13.33.47.71,tcp,80,http,amazon/cloudfront,
shop.shipt.com,13.33.47.71,tcp,443,http,amazon/cloudfront,
shop.shipt.com,13.33.47.71,tcp,443,https,amazon/s3,
shop.shipt.com,13.33.47.81,tcp,80,http,amazon/cloudfront,
shop.shipt.com,13.33.47.81,tcp,443,http,amazon/cloudfront,
shop.shipt.com,13.33.47.81,tcp,443,https,amazon/s3,
shop.shipt.com,13.33.47.135,tcp,80,http,amazon/cloudfront,
shop.shipt.com,13.33.47.135,tcp,443,http,amazon/cloudfront,
shop.shipt.com,13.33.47.135,tcp,443,https,amazon/s3,
shop.shipt.com,13.33.47.217,tcp,80,http,amazon/cloudfront,
shop.shipt.com,13.33.47.217,tcp,443,http,amazon/cloudfront,
shop.shipt.com,13.33.47.217,tcp,443,https,amazon/s3,
shoppingcart.shipt.com,34.233.178.252,tcp,443,http,nginx/nginx,
shoppingcart.shipt.com,34.233.178.252,tcp,443,https,nginx/nginx,
shoppingcart.shipt.com,35.168.50.219,tcp,443,http,nginx/nginx,
shoppingcart.shipt.com,35.168.50.219,tcp,443,https,nginx/nginx,
shoppingcart.shipt.com,35.171.90.59,tcp,443,http,nginx/nginx,
shoppingcart.shipt.com,35.171.90.59,tcp,443,https,nginx/nginx,
staging-admin.shipt.com,34.204.30.228,tcp,80,http,amazon/awselb,2.0
staging-admin.shipt.com,34.204.30.228,tcp,443,http,amazon/awselb,2.0
staging-admin.shipt.com,52.54.194.138,tcp,80,http,amazon/awselb,2.0
staging-admin.shipt.com,52.54.194.138,tcp,443,http,amazon/awselb,2.0
staging-admin.shipt.com,52.86.158.4,tcp,80,http,amazon/awselb,2.0
staging-admin.shipt.com,52.86.158.4,tcp,443,http,amazon/awselb,2.0
staging-api.shipt.com,34.238.100.28,tcp,443,http,nginx/nginx,
staging-api.shipt.com,34.238.100.28,tcp,443,https,nginx/nginx,
staging-api.shipt.com,52.71.24.91,tcp,443,http,nginx/nginx,
staging-api.shipt.com,52.71.24.91,tcp,443,https,nginx/nginx,
staging-api.shipt.com,54.164.87.210,tcp,443,http,nginx/nginx,
staging-api.shipt.com,54.164.87.210,tcp,443,https,nginx/nginx,
staging-app.shipt.com,34.238.100.28,tcp,443,http,nginx/nginx,
staging-app.shipt.com,34.238.100.28,tcp,443,https,nginx/nginx,
staging-app.shipt.com,52.71.24.91,tcp,443,http,nginx/nginx,
staging-app.shipt.com,52.71.24.91,tcp,443,https,nginx/nginx,
staging-app.shipt.com,54.164.87.210,tcp,443,http,nginx/nginx,
staging-app.shipt.com,54.164.87.210,tcp,443,https,nginx/nginx,
staging-shop.shipt.com,13.33.47.52,tcp,80,http,amazon/cloudfront,
staging-shop.shipt.com,13.33.47.52,tcp,443,http,amazon/cloudfront,
staging-shop.shipt.com,13.33.47.52,tcp,443,https,amazon/s3,
staging-shop.shipt.com,13.33.47.159,tcp,80,http,amazon/cloudfront,
staging-shop.shipt.com,13.33.47.159,tcp,443,http,amazon/cloudfront,
staging-shop.shipt.com,13.33.47.159,tcp,443,https,amazon/s3,
staging-shop.shipt.com,13.33.47.198,tcp,80,http,amazon/cloudfront,
staging-shop.shipt.com,13.33.47.198,tcp,443,http,amazon/cloudfront,
staging-shop.shipt.com,13.33.47.198,tcp,443,https,amazon/s3,
staging-shop.shipt.com,13.33.47.226,tcp,80,http,amazon/cloudfront,
staging-shop.shipt.com,13.33.47.226,tcp,443,http,amazon/cloudfront,
staging-shop.shipt.com,13.33.47.226,tcp,443,https,amazon/s3,
staging-shoppingcart.shipt.com,34.238.100.28,tcp,443,http,nginx/nginx,
staging-shoppingcart.shipt.com,34.238.100.28,tcp,443,https,nginx/nginx,
staging-shoppingcart.shipt.com,52.71.24.91,tcp,443,http,nginx/nginx,
staging-shoppingcart.shipt.com,52.71.24.91,tcp,443,https,nginx/nginx,
staging-shoppingcart.shipt.com,54.164.87.210,tcp,443,http,nginx/nginx,
staging-shoppingcart.shipt.com,54.164.87.210,tcp,443,https,nginx/nginx,
www.shipt.com,146.148.55.211,tcp,80,http,nginx/nginx,
www.shipt.com,146.148.55.211,tcp,443,http,nginx/nginx,
www.shipt.com,146.148.55.211,tcp,443,https,nginx/nginx,
