Host,Address,Transport,Port,Service
admin.shipt.com,34.224.192.63,tcp,80,http
admin.shipt.com,34.224.192.63,tcp,443,http
admin.shipt.com,34.224.192.63,tcp,443,https
admin.shipt.com,52.45.226.45,tcp,80,http
admin.shipt.com,52.45.226.45,tcp,443,http
admin.shipt.com,52.45.226.45,tcp,443,https
admin.shipt.com,52.72.50.243,tcp,80,http
admin.shipt.com,52.72.50.243,tcp,443,http
admin.shipt.com,52.72.50.243,tcp,443,https
api.shipt.com,34.233.178.252,tcp,443,http
api.shipt.com,34.233.178.252,tcp,443,https
api.shipt.com,35.168.50.219,tcp,443,http
api.shipt.com,35.168.50.219,tcp,443,https
api.shipt.com,35.171.90.59,tcp,443,http
api.shipt.com,35.171.90.59,tcp,443,https
app.shipt.com,34.233.178.252,tcp,443,http
app.shipt.com,34.233.178.252,tcp,443,https
app.shipt.com,35.168.50.219,tcp,443,http
app.shipt.com,35.168.50.219,tcp,443,https
app.shipt.com,35.171.90.59,tcp,443,http
app.shipt.com,35.171.90.59,tcp,443,https
shop.shipt.com,52.85.255.21,tcp,80,http
shop.shipt.com,52.85.255.21,tcp,443,http
shop.shipt.com,52.85.255.21,tcp,443,https
shop.shipt.com,52.85.255.85,tcp,80,http
shop.shipt.com,52.85.255.85,tcp,443,http
shop.shipt.com,52.85.255.85,tcp,443,https
shop.shipt.com,52.85.255.183,tcp,80,http
shop.shipt.com,52.85.255.183,tcp,443,http
shop.shipt.com,52.85.255.183,tcp,443,https
shop.shipt.com,52.85.255.248,tcp,80,http
shop.shipt.com,52.85.255.248,tcp,443,http
shop.shipt.com,52.85.255.248,tcp,443,https
shoppingcart.shipt.com,34.233.178.252,tcp,443,http
shoppingcart.shipt.com,34.233.178.252,tcp,443,https
shoppingcart.shipt.com,35.168.50.219,tcp,443,http
shoppingcart.shipt.com,35.168.50.219,tcp,443,https
shoppingcart.shipt.com,35.171.90.59,tcp,443,http
shoppingcart.shipt.com,35.171.90.59,tcp,443,https
staging-admin.shipt.com,34.204.30.228,tcp,80,http
staging-admin.shipt.com,34.204.30.228,tcp,443,http
staging-admin.shipt.com,34.204.30.228,tcp,443,https
staging-admin.shipt.com,52.54.194.138,tcp,80,http
staging-admin.shipt.com,52.54.194.138,tcp,443,http
staging-admin.shipt.com,52.54.194.138,tcp,443,https
staging-admin.shipt.com,52.86.158.4,tcp,80,http
staging-admin.shipt.com,52.86.158.4,tcp,443,http
staging-admin.shipt.com,52.86.158.4,tcp,443,https
staging-api.shipt.com,34.238.100.28,tcp,443,http
staging-api.shipt.com,34.238.100.28,tcp,443,https
staging-api.shipt.com,52.71.24.91,tcp,443,http
staging-api.shipt.com,52.71.24.91,tcp,443,https
staging-api.shipt.com,54.164.87.210,tcp,443,http
staging-api.shipt.com,54.164.87.210,tcp,443,https
staging-app.shipt.com,34.238.100.28,tcp,443,http
staging-app.shipt.com,34.238.100.28,tcp,443,https
staging-app.shipt.com,52.71.24.91,tcp,443,http
staging-app.shipt.com,52.71.24.91,tcp,443,https
staging-app.shipt.com,54.164.87.210,tcp,443,http
staging-app.shipt.com,54.164.87.210,tcp,443,https
staging-shop.shipt.com,52.222.157.57,tcp,80,http
staging-shop.shipt.com,52.222.157.57,tcp,443,http
staging-shop.shipt.com,52.222.157.57,tcp,443,https
staging-shop.shipt.com,52.222.157.174,tcp,80,http
staging-shop.shipt.com,52.222.157.174,tcp,443,http
staging-shop.shipt.com,52.222.157.174,tcp,443,https
staging-shop.shipt.com,52.222.157.200,tcp,80,http
staging-shop.shipt.com,52.222.157.200,tcp,443,http
staging-shop.shipt.com,52.222.157.200,tcp,443,https
staging-shop.shipt.com,52.222.157.215,tcp,80,http
staging-shop.shipt.com,52.222.157.215,tcp,443,http
staging-shop.shipt.com,52.222.157.215,tcp,443,https
staging-shoppingcart.shipt.com,34.238.100.28,tcp,443,http
staging-shoppingcart.shipt.com,34.238.100.28,tcp,443,https
staging-shoppingcart.shipt.com,52.71.24.91,tcp,443,http
staging-shoppingcart.shipt.com,52.71.24.91,tcp,443,https
staging-shoppingcart.shipt.com,54.164.87.210,tcp,443,http
staging-shoppingcart.shipt.com,54.164.87.210,tcp,443,https
www.shipt.com,146.148.55.211,tcp,80,http
www.shipt.com,146.148.55.211,tcp,443,http
www.shipt.com,146.148.55.211,tcp,443,https
