Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
deals.souq.com,34.251.245.206,tcp,443,https,0,/CN=*.souq.com,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","Jun 24 00:00:00 2018 GMT","Jul 24 12:00:00 2019 GMT"
deals.souq.com,34.251.245.206,tcp,443,https,1,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","/C=US/O=Amazon/CN=Amazon Root CA 1","Oct 22 00:00:00 2015 GMT","Oct 19 00:00:00 2025 GMT"
deals.souq.com,34.251.245.206,tcp,443,https,2,"/C=US/O=Amazon/CN=Amazon Root CA 1","/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","May 25 12:00:00 2015 GMT","Dec 31 01:00:00 2037 GMT"
deals.souq.com,34.251.245.206,tcp,443,https,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority","Sep  2 00:00:00 2009 GMT","Jun 28 17:39:16 2034 GMT"
deals.souq.com,34.254.2.179,tcp,443,https,0,/CN=*.souq.com,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","Jun 24 00:00:00 2018 GMT","Jul 24 12:00:00 2019 GMT"
deals.souq.com,34.254.2.179,tcp,443,https,1,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","/C=US/O=Amazon/CN=Amazon Root CA 1","Oct 22 00:00:00 2015 GMT","Oct 19 00:00:00 2025 GMT"
deals.souq.com,34.254.2.179,tcp,443,https,2,"/C=US/O=Amazon/CN=Amazon Root CA 1","/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","May 25 12:00:00 2015 GMT","Dec 31 01:00:00 2037 GMT"
deals.souq.com,34.254.2.179,tcp,443,https,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority","Sep  2 00:00:00 2009 GMT","Jun 28 17:39:16 2034 GMT"
deals.souq.com,52.31.46.132,tcp,443,https,0,/CN=*.souq.com,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","Jun 24 00:00:00 2018 GMT","Jul 24 12:00:00 2019 GMT"
deals.souq.com,52.31.46.132,tcp,443,https,1,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","/C=US/O=Amazon/CN=Amazon Root CA 1","Oct 22 00:00:00 2015 GMT","Oct 19 00:00:00 2025 GMT"
deals.souq.com,52.31.46.132,tcp,443,https,2,"/C=US/O=Amazon/CN=Amazon Root CA 1","/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","May 25 12:00:00 2015 GMT","Dec 31 01:00:00 2037 GMT"
deals.souq.com,52.31.46.132,tcp,443,https,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority","Sep  2 00:00:00 2009 GMT","Jun 28 17:39:16 2034 GMT"
saudi.souq.com,52.18.96.150,tcp,443,https,0,/CN=*.souq.com,"/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon","Jun 24 00:00:00 2018 GMT","Jul 24 12:00:00 2019 GMT"
