Host,Address,Transport,Port,Service,Component,Version
deals.souq.com,34.251.245.206,tcp,443,http,amazon/awselb,2.0
deals.souq.com,52.31.46.132,tcp,443,http,amazon/awselb,2.0
saudi.souq.com,52.17.99.113,tcp,80,http,apache/apache,
saudi.souq.com,52.17.99.113,tcp,443,http,amazon/awselb,2.0
saudi.souq.com,52.17.99.113,tcp,443,https,apache/apache,
saudi.souq.com,52.18.96.150,tcp,80,http,apache/apache,
saudi.souq.com,52.18.96.150,tcp,443,http,amazon/awselb,2.0
saudi.souq.com,52.18.96.150,tcp,443,https,apache/apache,
saudi.souq.com,52.209.243.60,tcp,80,http,apache/apache,
saudi.souq.com,52.209.243.60,tcp,443,http,amazon/awselb,2.0
saudi.souq.com,52.209.243.60,tcp,443,https,apache/apache,
saudi.souq.com,52.211.85.8,tcp,80,http,apache/apache,
saudi.souq.com,52.211.85.8,tcp,443,http,amazon/awselb,2.0
saudi.souq.com,52.211.85.8,tcp,443,https,apache/apache,
saudi.souq.com,52.215.94.101,tcp,80,http,apache/apache,
saudi.souq.com,52.215.94.101,tcp,443,http,amazon/awselb,2.0
saudi.souq.com,52.215.94.101,tcp,443,https,apache/apache,
saudi.souq.com,54.171.145.179,tcp,80,http,apache/apache,
saudi.souq.com,54.171.145.179,tcp,443,http,amazon/awselb,2.0
saudi.souq.com,54.171.145.179,tcp,443,https,apache/apache,
sell.souq.com,54.76.196.223,tcp,80,http,apache/apache,
sell.souq.com,54.76.196.223,tcp,443,http,amazon/awselb,2.0
sell.souq.com,54.76.196.223,tcp,443,https,apache/apache,
sell.souq.com,54.194.24.212,tcp,80,http,apache/apache,
sell.souq.com,54.194.24.212,tcp,443,http,amazon/awselb,2.0
sell.souq.com,54.194.24.212,tcp,443,https,apache/apache,
sell.souq.com,54.194.202.141,tcp,80,http,apache/apache,
sell.souq.com,54.194.202.141,tcp,443,http,amazon/awselb,2.0
sell.souq.com,54.194.202.141,tcp,443,https,apache/apache,
