Host,Address,Transport,Port,Service
deals.souq.com,34.251.245.206,tcp,80,http
deals.souq.com,34.251.245.206,tcp,443,http
deals.souq.com,34.251.245.206,tcp,443,https
deals.souq.com,34.254.2.179,tcp,80,http
deals.souq.com,34.254.2.179,tcp,443,http
deals.souq.com,34.254.2.179,tcp,443,https
deals.souq.com,52.31.46.132,tcp,80,http
deals.souq.com,52.31.46.132,tcp,443,http
deals.souq.com,52.31.46.132,tcp,443,https
saudi.souq.com,52.18.96.150,tcp,80,http
saudi.souq.com,52.18.96.150,tcp,443,http
saudi.souq.com,52.18.96.150,tcp,443,https
saudi.souq.com,52.210.60.174,tcp,80,http
saudi.souq.com,52.210.60.174,tcp,443,http
saudi.souq.com,52.210.60.174,tcp,443,https
saudi.souq.com,52.210.101.199,tcp,80,http
saudi.souq.com,52.210.101.199,tcp,443,http
saudi.souq.com,52.210.101.199,tcp,443,https
saudi.souq.com,54.154.232.21,tcp,80,http
saudi.souq.com,54.154.232.21,tcp,443,http
saudi.souq.com,54.154.232.21,tcp,443,https
saudi.souq.com,63.32.37.166,tcp,80,http
saudi.souq.com,63.32.37.166,tcp,443,http
saudi.souq.com,63.32.37.166,tcp,443,https
saudi.souq.com,99.81.109.19,tcp,80,http
saudi.souq.com,99.81.109.19,tcp,443,http
saudi.souq.com,99.81.109.19,tcp,443,https
sell.souq.com,54.76.196.223,tcp,80,http
sell.souq.com,54.76.196.223,tcp,443,http
sell.souq.com,54.76.196.223,tcp,443,https
sell.souq.com,54.194.24.212,tcp,80,http
sell.souq.com,54.194.24.212,tcp,443,http
sell.souq.com,54.194.24.212,tcp,443,https
sell.souq.com,54.194.202.141,tcp,80,http
sell.souq.com,54.194.202.141,tcp,443,http
sell.souq.com,54.194.202.141,tcp,443,https
